股票代码,股票名称,总股本(股),流通股本(股),上市日期
000532,华金资本,344708340,343483446,1994-01-03
000533,万 家 乐,690816000,684902400,1994-01-03
000534,万泽股份,491785096,491390107,1994-01-10
000536,华映科技,2766032803,2003343563,1993-11-26
000537,广宇发展,1862520720,512717581,1993-12-10
000538,云南白药,1041399718,1041392430,1993-12-15
000539,粤电力Ａ,4451875986,2553907040,1993-11-26
000540,中天金融,7005254679,6505530637,1994-02-02
000541,佛山照明,1077274404,1072239049,1993-11-23
000543,皖能电力,1790395978,1790395978,1993-12-20
000544,中原环保,974684488,521650284,1993-12-08
000545,金浦钛业,986833096,959403096,1993-12-15
000546,金圆股份,714644396,667919370,1993-12-15
000547,航天发展,1429628897,970650675,1993-11-30
000548,湖南投资,499215811,499201046,1993-12-20
000550,江铃汽车,519214000,518427160,1993-12-01
000551,创元科技,400080405,400080405,1994-01-06
000552,靖远煤电,2286971050,1557438726,1994-01-06
000553,沙隆达Ａ,2279504241,363918720,1993-12-03
000554,泰山石油,480793318,362649710,1993-12-15
000555,神州信息,963431273,934914331,1994-04-08
000557,西部创业,1458374735,585245214,1994-06-17
000558,莱茵体育,1289223949,1288358654,1994-05-09
000559,万向钱潮,2753159454,2753149374,1994-01-10
000560,我爱我家,2355500851,1129573564,1994-02-02
000561,烽火电子,604770801,593991864,1994-05-09
000563,陕国投Ａ,3964012846,3666796319,1994-01-10
000564,供销大集,6007828231,1888737864,1994-01-10
000565,渝三峡Ａ,433592220,433592220,1994-04-08
000566,海南海药,1335979264,1103195493,1994-05-25
000567,海德股份,442164777,150359040,1994-05-25
000568,泸州老窖,1464752476,1460105295,1994-05-09
000570,苏常柴Ａ,411374326,411374326,1994-07-01
000571,新大洲Ａ,814064000,806543720,1994-05-25
000572,海马汽车,1644636426,1642155224,1994-08-08
000573,粤宏远Ａ,648205604,622173003,1994-08-15
000576,广东甘化,442861324,433998887,1994-09-07
000581,威孚高科,836570570,836489991,1998-09-24
000582,北部湾港,1386564967,263175194,1995-11-02
000584,哈工智能,613324339,598315925,1995-11-28
000585,*ST东电,615420000,609420978,1995-12-13
000586,汇源通信,193440000,193440000,1995-12-20
000587,金洲慈航,2123749330,1213011850,1996-04-25
000589,黔轮胎Ａ,775464304,775407255,1996-03-08
000590,启迪古汉,239471267,223236227,1996-01-19
000591,太阳能,3007098032,2037098929,1996-02-08
000592,平潭发展,1931780892,1913936916,1996-03-27
000593,大通燃气,358631009,279792362,1996-03-12
000595,宝塔实业,764279250,751787000,1996-04-19
000596,古井贡酒,383600000,383600000,1996-09-27
000597,东北制药,569586081,473382322,1996-05-23
000598,兴蓉环境,2986218602,2986218602,1996-05-29
000599,青岛双星,835627649,674546362,1996-04-30
000600,建投能源,1791626376,1090044126,1996-06-06
000601,韶能股份,1080551669,1079832057,1996-08-30
000603,盛达矿业,689969346,463246877,1996-08-23
000605,渤海股份,352658600,272987492,1996-09-13
000606,顺利办,765799353,519107186,1996-10-04
000607,华媒控股,1017698410,884859969,1996-08-30
000608,阳光股份,749913309,749801859,1996-09-19
000609,中迪投资,299275522,292002672,1996-10-10
000610,西安旅游,236747901,235284769,1996-09-26
000611,天首发展,321822022,319347925,1996-10-08
000612,焦作万方,1192199394,1189588941,1996-09-26
000613,大东海A,276100000,265645600,1997-01-28
000615,京汉股份,783405987,642904161,1996-10-16
000616,海航投资,1430234425,1430219425,1996-11-08
000617,中油资本,9030056485,287539200,1996-10-22
000619,海螺型材,360000000,360000000,1996-10-23
000620,新华联,1896690420,1896592620,1996-10-29
000622,恒立实业,425226000,425226000,1996-11-07
000623,吉林敖东,1162776453,1118726990,1996-10-28
000625,长安汽车,3900662369,3760881066,1997-06-10
000626,远大控股,598634538,404595000,1996-11-28
000627,天茂集团,4940629165,2035017040,1996-11-12
000628,高新发展,311480000,187980340,1996-11-18
000629,攀钢钒钛,8589746202,4767139025,1996-11-15
000630,铜陵有色,10526533308,9560559168,1996-11-20
000631,顺发恒业,2432519168,2432519168,1996-11-22
000632,三木集团,465519570,465481606,1996-11-21
000633,合金投资,385106373,385104123,1996-11-12
000635,英 力 特,303087602,303087602,1996-11-20
000636,风华高科,895233111,875450903,1996-11-29
000637,茂化实华,519875356,366494967,1996-11-14
000638,万方发展,309400000,308159050,1996-11-26
000639,西王食品,771020068,525105330,1996-11-26
000650,仁和药业,1238340076,1180393145,1996-12-10
000651,格力电器,6015730878,5969815772,1996-11-18
000652,泰达股份,1475573852,1474125684,1996-11-28
000655,*ST金岭,595340230,595340230,1996-11-28
000656,金科股份,5339715816,5221286924,1996-11-28
000657,中钨高新,880116529,453732483,1996-12-05
000659,珠海中富,1285702520,1285702520,1996-12-03
000661,长春高新,170112265,169950099,1996-12-18
000662,天夏智慧,1093097734,374265875,1996-12-16
000663,永安林业,340988702,222853691,1996-12-06
000665,湖北广电,636217448,636164123,1996-12-10
000666,经纬纺机,523330000,293518766,1996-12-10
000667,美好置业,2559592332,2539918331,1996-12-05
000668,荣丰控股,146841890,146688393,1996-12-10
000669,金鸿控股,680408797,669936512,1996-12-10
000670,盈方微,816627360,600167286,1996-12-17
000671,阳 光 城,4050073315,3241368638,1996-12-18
000672,上峰水泥,813619871,813606071,1996-12-18
000673,当代东方,791550442,787377505,1997-01-24
000676,智度股份,965710782,317057894,1996-12-24
000677,恒天海龙,863977948,863977948,1996-12-26
000678,襄阳轴承,459611797,429079797,1997-01-06
000679,大连友谊,356400000,356350622,1997-01-24
000680,山推股份,1240787611,1056929932,1997-01-22
000681,视觉中国,700577436,310462573,1997-01-21
000682,东方电子,1340727007,978027357,1997-01-21
000683,远兴能源,3976652992,2832683853,1997-01-31
000685,中山公用,1475111351,1253229908,1997-01-23
000686,东北证券,2340452915,2340452915,1997-02-27
000687,华讯方舟,766199362,752864377,1997-02-21
000688,国城矿业,1137299314,1137294994,1997-01-20
000690,宝新能源,2175887862,2042232795,1997-01-28
000691,亚太实业,323270000,290486300,1997-02-28
000692,惠天热电,532832976,532785879,1997-02-27
000693,*ST华泽,543491923,277355151,1997-02-26
000695,滨海能源,222147539,221721339,1997-02-18
000697,炼石航空,671616059,453773223,1997-03-25
000698,沈阳化工,819514395,785682739,1997-02-20
000700,模塑科技,827178715,697383901,1997-02-28
000701,厦门信达,406613056,377894352,1997-02-26
000702,正虹科技,266634576,266634576,1997-03-18
000703,恒逸石化,2307115106,2273595606,1997-03-28
000705,浙江震元,334123286,281983639,1997-04-10
000707,*ST双环,464145765,464144265,1997-04-15
000708,大冶特钢,449408480,449408480,1997-03-26
000709,河钢股份,10618607852,10616892601,1997-04-16
000710,贝瑞基因,354605865,151199850,1997-04-22
000711,京蓝科技,876655062,406204265,1997-04-11
000712,锦龙股份,896000000,894724975,1997-04-15
000713,丰乐种业,298875968,298875968,1997-04-22
000715,中兴商业,279006000,278564469,1997-05-08
000716,黑芝麻,705652572,591311608,1997-04-18
000717,韶钢松山,2419524410,2419524410,1997-05-08
000718,苏宁环球,3034636384,2289353431,1997-04-08
000719,中原传媒,1023203749,667147543,1997-03-31
000720,*ST新能,1289650962,863460000,1997-05-09
000721,西安饮食,499055920,435795445,1997-04-30
000722,湖南发展,464158282,464158282,1997-05-22
000723,美锦能源,4140378102,1081244412,1997-05-15
000725,京东方Ａ,33862285275,33859748882,2001-01-12
000726,鲁  泰Ａ,561883400,561105431,2000-12-25
000727,华东科技,4529566980,2930654640,1997-05-20
000728,国元证券,3365447047,2946150000,1997-06-16
000729,燕京啤酒,2818539341,2509443521,1997-07-16
000731,四川美丰,591484352,591484352,1997-06-17
000732,泰禾集团,1244450720,1243059698,1997-07-04
000733,振华科技,469342218,469342218,1997-07-03
000735,罗 牛 山,1151513578,1059614623,1997-06-11
000736,中交地产,445790827,445790827,1997-04-25
000737,*ST南风,548760000,548760000,1997-04-28
000738,航发控制,1145642349,1145634399,1997-06-26
000739,普洛药业,1178523492,1146824064,1997-05-09
000750,国海证券,4215541972,4215538597,1997-07-09
000751,锌业股份,1409869279,1409850979,1997-06-26
000752,西藏发展,263758491,263753205,1997-06-25
000753,漳州发展,991481071,884146545,1997-06-26
000755,山西路桥,469264621,469255643,1997-06-27
000756,新华制药,426859447,399495077,1997-08-06
000757,浩物股份,451621156,451619600,1997-06-27
000758,中色股份,1969378424,1969174826,1997-04-16
000759,中百集团,681021500,680606032,1997-05-19
000760,斯太尔,771844628,654444268,1997-06-27
000761,本钢板材,3475371532,2736000000,1998-01-15
000762,西藏矿业,520819240,475951155,1997-07-08
000766,通化金马,966494707,573488849,1997-04-30
000767,漳泽电力,3076942219,2912295069,1997-06-09
000768,中航飞机,2768645071,2768628046,1997-06-26
000776,广发证券,5919291464,5919291464,1997-06-11
000777,中核科技,383417593,383406551,1997-07-10
000778,新兴铸管,3990880176,3921069772,1997-06-06
000779,三毛派神,186441020,186441020,1997-05-28
000780,平庄能源,1014306324,1014306324,1997-06-06
000782,美达股份,528139623,446316970,1997-06-19
000783,长江证券,5529478492,5529403027,1997-07-31
000785,武汉中商,251221698,251093698,1997-07-11
000786,北新建材,1689507842,1413981592,1997-06-06
000788,北大医药,595987425,595987425,1997-06-16
000789,万年青,613364368,613349678,1997-09-23
000790,泰合健康,560327786,559771969,1998-03-27
000791,甘肃电投,971126200,971092450,1997-10-14
000792,盐湖股份,2786090601,2749899995,1997-09-04
000793,华闻传媒,1997245457,1917576859,1997-07-29
000795,英洛华,1133684103,886371718,1997-08-08
000796,凯撒旅游,803000258,802522658,1997-07-03
000797,中国武夷,1310622676,1299446979,1997-07-15
000798,中水渔业,319455000,319383250,1998-02-12
000799,酒鬼酒,324928980,324928905,1997-07-18
000800,一汽轿车,1627500000,1411754078,1997-06-18
000801,四川九洲,1022806646,1022806646,1998-05-06
000802,北京文化,723150255,385788360,1998-01-08
000803,金宇车城,127730893,127730893,1998-03-03
000806,银河生物,1099911762,698448301,1998-04-16
000807,云铝股份,2606838797,2429614522,1998-04-08
000809,铁岭新城,824791293,824791293,1998-06-16
000810,创维数字,1074103280,970437559,1998-06-02
000811,冰轮环境,653054151,653041490,1998-05-28
000812,陕西金叶,768692614,670303990,1998-06-23
000813,德展健康,2241481800,1080570388,1998-05-19
000815,美利云,695263035,316800000,1998-06-09
000816,*ST慧业,1418803318,1336277472,1997-08-18
000818,航锦科技,690000000,670398019,1997-10-17
000819,岳阳兴长,271338100,271324835,1997-06-25
000820,神雾节能,637245222,287656920,1998-06-30
000821,京山轻机,538235280,411078698,1998-06-26
000822,山东海化,895091926,895091926,1998-07-03
000823,超声电子,536966000,536920512,1997-10-08
000825,太钢不锈,5696247796,5696074051,1998-10-21
000826,启迪桑德,1430578784,1186168752,1998-02-25
000828,东莞控股,1039516992,1039515642,1997-06-17
000829,天音控股,1037633454,929597944,1997-12-02
000830,鲁西化工,1464860778,1463975503,1998-08-07
000831,五矿稀土,980888981,980888981,1998-09-11
000833,粤桂股份,668401851,378086447,1998-11-11
000835,长城动漫,326760374,302895000,1999-06-25
000836,富通鑫茂,1208455224,1208382733,1997-09-29
000837,秦川机床,693370910,582616476,1998-09-28
000838,财信发展,1100462170,632171670,1997-06-26
000839,中信国安,3919826352,3919204277,1997-10-31
000848,承德露露,978562728,978355383,1997-11-13
000850,华茂股份,943665009,943382487,1998-10-07
000851,高鸿股份,907629867,835026407,1998-06-09
000852,石化机械,598157690,598157690,1998-11-26
000856,冀东装备,227000000,227000000,1998-08-13
000858,五 粮 液,3881608005,3795768418,1998-04-27
000859,国风塑业,739449730,739312480,1998-11-19
000860,顺鑫农业,570589992,570589992,1998-11-04
000861,海印股份,2249879951,2045031888,1998-10-28
000862,银星能源,706118997,501352890,1998-09-15
000863,三湘印象,1371271098,917464349,1997-09-25
000868,安凯客车,733329168,695560691,1997-07-25
000869,张  裕Ａ,453460800,453460400,2000-10-26
000875,吉电股份,2146313980,1954309906,2002-09-26
000876,新 希 望,4216015009,4177041289,1998-03-11
000877,天山股份,1048722959,880094899,1999-01-07
000878,云南铜业,1416398800,1416391956,1998-06-02
000880,潍柴重机,276100500,135120000,1998-04-02
000881,中广核技,1024997887,308054400,1998-09-02
000882,华联股份,2737351947,2482155138,1998-06-16
000883,湖北能源,6507449486,5345829103,1998-05-19
000885,城发环境,496381983,496381983,1999-03-19
000886,海南高速,988828300,968492948,1998-01-23
000887,中鼎股份,1220820095,1218445172,1998-12-03
000888,峨眉山Ａ,526913102,526912352,1997-10-21
000889,茂业通信,669101883,621643712,1997-12-18
000890,法 尔 胜,379641600,379623243,1999-01-19
000892,欢瑞世纪,980980473,517093357,1999-01-15
000893,*ST东凌,756903272,400741950,1998-12-24
000895,双汇发展,3299558284,3299020815,1998-12-10
000897,津滨发展,1617272234,1617244634,1999-04-22
000898,鞍钢股份,6149007847,6148994610,1997-12-25
000899,赣能股份,975677760,646674006,1997-11-26
000900,现代投资,1517828334,1517118360,1999-01-28
000901,航天科技,614190718,567006340,1999-04-01
000902,新洋丰,1304529290,1172878750,1999-04-08
