股票代码,股票名称,总股本(股),流通股本(股),上市日期
600793,宜宾纸业,105300000,105300000,1997-02-20
600794,保税科技,1212152200,1191574200,1997-03-06
600795,国电电力,19650397800,19650397800,1997-03-18
600796,钱江生化,301402100,301402100,1997-04-08
600797,浙大网新,1055218700,941114400,1997-04-18
600798,宁波海运,1030850900,1030850900,1997-04-23
600800,天津磁卡,611271000,610956000,1993-12-06
600801,华新水泥,1497571300,1497571300,1994-01-03
600802,福建水泥,381873700,381873700,1994-01-03
600803,新奥股份,1229355800,1229355800,1994-01-03
600804,鹏博士,1432456500,1432357900,1994-01-03
600805,悦达投资,850894500,850275399,1994-01-03
600807,*ST天业,884634700,787018500,1994-01-03
600808,马钢股份,7700681200,7700681200,1994-01-06
600809,山西汾酒,865848300,865848300,1994-01-06
600810,神马股份,442280000,442280000,1994-01-06
600811,东方集团,3714576100,3273473300,1994-01-06
600812,华北制药,1630804700,1630804700,1994-01-14
600814,杭州解百,715026799,715026799,1994-01-14
600815,厦工股份,958970000,958970000,1994-01-28
600816,安信信托,5469137900,4672509100,1994-01-28
600817,ST宏盛,160910100,155679100,1994-01-28
600818,中路股份,321447900,321447900,1994-01-28
600819,耀皮玻璃,934916100,934916100,1994-01-28
600820,隧道股份,3144096100,3144096100,1994-01-28
600821,津劝业,416268200,416268200,1994-01-28
600822,上海物贸,495972900,495972900,1994-02-04
600823,世茂股份,3751168300,3751168300,1994-02-04
600824,益民集团,1054027100,1054027100,1994-02-04
600825,新华传媒,1044887899,1044887899,1994-02-04
600826,兰生股份,420642300,420642300,1994-02-04
600827,百联股份,1784168100,1722495799,1994-02-04
600828,茂业商业,1731982500,649051600,1994-02-24
600829,人民同泰,579888600,579888600,1994-02-24
600830,香溢融通,454322699,454322699,1994-02-24
600831,广电网络,604967700,563438500,1994-02-24
600833,第一医药,223086300,223086300,1994-02-24
600834,申通地铁,477381900,477381900,1994-02-24
600835,上海机电,1022739299,1022739299,1994-02-24
600836,界龙实业,662753100,662753100,1994-02-24
600837,海通证券,11501700000,11501700000,1994-02-24
600838,上海九百,400882000,400882000,1994-02-24
600839,四川长虹,4616244200,4614290600,1994-03-11
600841,上柴股份,866689800,866689800,1994-03-11
600843,上工申贝,548589600,548589600,1994-03-11
600844,丹化科技,1016524200,1016524200,1994-03-11
600845,宝信软件,877307899,869629800,1994-03-11
600846,同济科技,624761500,624761500,1994-03-11
600847,万里股份,153287400,153287400,1994-03-24
600848,上海临港,1119919300,895172100,1994-03-24
600850,华东电脑,423340100,423340100,1994-03-24
600851,海欣股份,1207056700,1207056700,1994-04-04
600853,龙建股份,644167700,536807699,1994-04-04
600854,春兰股份,519458500,519458500,1994-04-25
600855,航天长峰,352031300,330164400,1994-04-25
600856,中天能源,1366654400,1343422100,1994-04-25
600857,宁波中百,224319900,224319900,1994-04-25
600858,银座股份,520066600,517548000,1994-05-06
600859,王府井,776250399,305208200,1994-05-06
600860,京城股份,422000000,422000000,1994-05-06
600861,北京城乡,316804900,316804900,1994-05-20
600862,中航高科,1393049100,1393049100,1994-05-20
600863,内蒙华电,5807818000,5807818000,1994-05-20
600864,哈投股份,2108513800,1578317400,1994-08-09
600865,百大集团,376240300,376240300,1994-08-09
600866,星湖科技,645393500,645393500,1994-08-18
600867,通化东宝,2033988500,1953741700,1994-08-24
600868,梅雁吉祥,1898148700,1898148700,1994-09-12
600869,智慧能源,2219352700,2178191800,1995-02-06
600870,*ST厦华,523199700,523199700,1995-02-28
600871,*ST油服,18984340000,17457622500,1995-04-11
600872,中炬高新,796637200,796637200,1995-01-24
600873,梅花生物,3108175000,3073691700,1995-02-17
600874,创业环保,1427228400,1427228400,1995-06-30
600875,东方电气,3090803400,2336900400,1995-10-10
600876,洛阳玻璃,559797400,511766900,1995-10-31
600877,ST嘉陵,687282000,687282000,1995-10-13
600879,航天电子,2719271300,2413332500,1995-11-15
600880,博瑞传播,1093332100,733365100,1995-11-15
600881,亚泰集团,3248913600,3223381700,1995-11-15
600882,广泽股份,409762000,402958000,1995-12-06
600883,博闻科技,236088000,236088000,1995-12-08
600884,杉杉股份,1122765000,821716500,1996-01-30
600885,宏发股份,744761600,744761600,1996-02-05
600886,国投电力,6786023300,6786023300,1996-01-18
600887,伊利股份,6078127600,6033369200,1996-03-12
600888,新疆众和,861802000,833593600,1996-02-15
600889,南京化纤,366346000,307069300,1996-03-08
600890,中房股份,579194900,579194900,1996-03-18
600891,秋林集团,617585800,384055100,1996-03-25
600892,大晟文化,559464200,251597500,1996-03-15
600893,航发动力,2249844500,1947726600,1996-04-08
600894,广日股份,859946900,859946900,1996-03-28
600895,张江高科,1548689600,1548689600,1996-04-22
600896,*ST海投,869099100,577128300,1996-05-03
600897,厦门空港,297810000,297810000,1996-05-31
600898,国美通讯,252523800,252523800,1996-04-18
600900,长江电力,22000000000,11505941500,2003-11-18
600901,江苏租赁,2986650000,639999700,2018-03-01
600903,贵州燃气,812989299,451230800,2017-11-07
600908,无锡银行,1848171400,804387200,2016-09-23
600909,华安证券,3621000000,2702000000,2016-12-06
600917,重庆燃气,1556000000,1556000000,2014-09-30
600919,江苏银行,11544450000,6008226400,2016-08-02
600926,杭州银行,5130200400,2081648299,2016-10-27
600929,湖南盐业,917751100,150000000,2018-03-26
600933,爱柯迪,850380000,238117300,2017-11-17
600936,广西广电,1671026200,1195983300,2016-08-15
600939,重庆建工,1814500000,409575600,2017-02-21
600958,东方证券,6993655800,6215452000,2015-03-23
600959,江苏有线,3884529800,3884529800,2015-04-28
600960,渤海汽车,950515500,680128600,2004-04-07
600961,株冶集团,527457900,527457900,2004-08-30
600962,国投中鲁,262210000,254020000,2004-06-22
600963,岳阳林纸,1397733100,1043159100,2004-05-25
600965,福成股份,818701000,818701000,2004-07-13
600966,博汇纸业,1336844300,1336844300,2004-06-08
600967,内蒙一机,1689631800,960498200,2004-05-18
600969,郴电国际,370050500,370050500,2004-04-08
600970,中材国际,1739573900,1737054400,2005-04-12
600971,恒源煤电,1000004100,1000004100,2004-08-17
600973,宝胜股份,1222112500,895041300,2004-08-02
600975,新五丰,652675600,652675600,2004-06-09
600976,健民集团,153398600,153298600,2004-04-19
600977,中国电影,1867000000,565000000,2016-08-09
600978,宜华生活,1482870000,1482870000,2004-08-24
600979,广安爱众,947892100,717892100,2004-09-06
600980,北矿科技,152209900,152209900,2004-05-12
600981,汇鸿集团,2242433200,730852200,2004-06-30
600982,宁波热电,746930000,746930000,2004-07-06
600983,惠而浦,766439000,532800000,2004-07-27
600984,建设机械,827793500,786115500,2004-07-07
600985,淮北矿业,2112381000,262854700,2004-04-28
600986,科达股份,1325573800,1271847900,2004-04-26
600987,航民股份,635310000,635310000,2004-08-09
600988,赤峰黄金,1426381500,1426381500,2004-04-14
600990,四创电子,159179100,136702000,2004-05-10
600992,贵绳股份,245090000,245090000,2004-05-14
600993,马应龙,431053900,430236300,2004-05-17
600995,文山电力,478526400,478526400,2004-06-15
600996,贵广网络,1042568400,297987300,-
600997,开滦股份,1587799900,1234640000,2004-06-02
600998,九州通,1877663599,1660039700,2010-11-02
