证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股),融券余量(股),融券余额(元),融资融券余额(元)
1,平安银行,"837,533,273","6,187,920,763","12,612,991","1,869,639","31,690,381","6,219,611,144"
2,万  科Ａ,"1,448,754,667","7,666,552,672","14,936,661","3,450,832","51,348,379","7,717,901,051"
6,深振业Ａ,"232,431,955","1,587,581,492","227,000","90,400","1,066,720","1,588,648,212"
9,中国宝安,"402,322,714","4,192,815,105","2,468,779","656,689","12,496,792","4,205,311,897"
12,南  玻Ａ,0,"688,533,094",0,"665,543","7,234,452","695,767,546"
24,招商地产,0,"2,370,262,785",0,"517,656","16,544,286","2,386,807,071"
27,深圳能源,"236,512,995","1,226,868,798","1,357,830","385,753","5,890,448","1,232,759,246"
28,国药一致,"75,416,480","570,379,081","15,600","33,534","2,481,516","572,860,597"
31,中粮地产,"363,102,922","1,410,839,107","1,575,302","249,300","3,066,390","1,413,905,497"
39,中集集团,"251,377,119","2,314,123,902","1,357,043","673,217","18,547,129","2,332,671,031"
43,中航地产,"125,776,332","737,271,069","125,104","79,600","1,017,288","738,288,357"
46,泛海控股,"379,046,322","2,049,044,340","715,234","311,439","5,571,644","2,054,615,984"
49,德赛电池,"94,648,122","698,520,075","55,099","24,100","1,028,106","699,548,181"
50,深天马Ａ,"243,426,670","1,350,967,762","165,349","23,600","662,924","1,351,630,686"
60,中金岭南,"390,497,331","1,995,116,254","4,614,672","766,463","14,746,748","2,009,863,002"
61,农 产 品,"184,968,727","1,432,937,200","2,024,755","703,451","13,471,086","1,446,408,286"
62,深圳华强,0,"473,408,263",0,"27,000","737,370","474,145,633"
63,中兴通讯,"825,942,331","5,854,694,681","2,405,363","943,662","26,677,325","5,881,372,006"
69,华侨城Ａ,"619,449,388","3,301,348,683","6,483,171","880,624","9,325,808","3,310,674,491"
78,海王生物,"127,807,801","1,049,369,768","96,900","88,188","2,000,104","1,051,369,872"
88,盐 田 港,"185,442,341","1,206,626,029","685,800","23,600","298,540","1,206,924,569"
89,深圳机场,"83,609,640","522,453,670","129,500","128,300","1,186,775","523,640,445"
99,中信海直,"189,539,995","1,321,668,641","137,612","13,400","244,550","1,321,913,191"
100,TCL 集团,"1,054,352,068","6,200,423,739","8,444,737","1,950,872","12,953,790","6,213,377,529"
151,中成股份,"143,979,346","644,670,479","40,000",0,0,"644,670,479"
156,华数传媒,"55,103,585","413,994,027","46,707","38,390","1,775,538","415,769,565"
157,中联重科,"542,293,184","3,559,822,224","8,103,070","1,226,243","10,190,079","3,570,012,303"
333,美的集团,"267,993,901","2,237,745,590","1,698,268","397,732","14,720,061","2,252,465,651"
338,潍柴动力,"468,910,315","3,482,087,465","3,541,648","719,869","25,310,594","3,507,398,059"
400,许继电气,"257,568,448","1,955,773,142","1,789,801","222,806","6,784,442","1,962,557,584"
401,冀东水泥,"140,008,022","759,889,986","837,151","371,700","6,954,507","766,844,493"
402,金 融 街,"388,870,403","2,293,907,718","3,616,580","928,721","12,221,968","2,306,129,686"
410,沈阳机床,"321,583,394","845,542,904","29,200","69,600","1,904,256","847,447,160"
