证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股),融券余量(股),融券余额(元),融资融券余额(元)
1,深发展Ａ,0,"478,383,494",0,"142,886","2,254,741","480,638,235"
2,万  科Ａ,"15,635,369","371,814,417","924,700","1,318,809","9,930,632","381,745,049"
9,中国宝安,"14,014,225","184,441,849","179,606","406,108","4,706,792","189,148,641"
12,南  玻Ａ,"19,361,217","45,060,919","698,700","485,000","4,641,450","49,702,369"
21,长城开发,"4,620,917","14,300,621","5,600","15,600","84,708","14,385,329"
24,招商地产,"12,861,290","108,229,974","124,300","398,243","7,339,619","115,569,593"
31,中粮地产,"2,209,198","15,173,171",0,"3,700","14,467","15,187,638"
39,中集集团,"25,109,507","684,085,403","426,691","418,644","5,773,101","689,858,504"
59,辽通化工,"1,501,091","21,592,047","5,191","11,907","97,637","21,689,684"
60,中金岭南,"4,300,786","184,253,066","532,199","193,402","1,721,278","185,974,344"
61,农 产 品,"2,239,889","53,567,478","32,976","25,075","281,843","53,849,321"
63,中兴通讯,"14,824,575","336,868,023","388,819","467,126","8,151,348","345,019,371"
69,华侨城Ａ,"6,079,272","150,749,749","397,800","659,107","4,666,477","155,416,226"
100,TCL 集团,"5,019,130","19,224,128","2,104,900","1,110,500","2,287,630","21,511,758"
157,中联重科,"17,570,379","666,470,029","1,621,563","332,845","2,719,343","669,189,372"
338,潍柴动力,"15,347,807","415,947,592","44,300","120,000","3,982,800","419,930,392"
400,许继电气,"4,301,420","34,886,470","31,700","28,600","500,500","35,386,970"
401,冀东水泥,"14,877,471","38,257,449","182,180","73,908","1,326,648","39,584,097"
402,金 融 街,"11,564,309","188,777,258","272,414","335,131","2,010,786","190,788,044"
422,湖北宜化,"14,429,036","55,498,934","24,900","89,794","1,656,699","57,155,633"
423,东阿阿胶,"3,341,082","35,579,507","38,591","133,919","5,719,681","41,299,188"
425,徐工机械,"15,392,305","41,472,604","71,500","63,605","955,983","42,428,587"
503,海虹控股,"8,096,439","23,029,096","39,700","9,040","57,404","23,086,500"
527,美的电器,"3,799,857","319,807,596","158,700","453,114","5,940,324","325,747,920"
528,柳    工,"8,383,386","24,204,291","232,035","48,600","635,688","24,839,979"
538,云南白药,"10,657,281","131,033,445","49,254","145,509","7,592,660","138,626,105"
540,中天城投,"3,577,750","15,214,318","37,800",0,0,"15,214,318"
541,佛山照明,"395,956","17,217,748","27,200","37,300","359,199","17,576,947"
550,江铃汽车,"1,129,563","2,800,570",0,"15,014","315,895","3,116,465"
559,万向钱潮,"15,256,016","32,398,780","38,100","30,627","187,437","32,586,217"
562,宏源证券,"17,509,066","241,586,214","32,100","42,803","488,810","242,075,024"
568,泸州老窖,"12,532,425","198,595,759","133,106","232,989","8,760,386","207,356,145"
581,威孚高科,"5,992,562","16,093,775","28,892","41,120","1,322,830","17,416,605"
612,焦作万方,"3,866,529","9,756,855","12,800","36,800","444,912","10,201,767"
623,吉林敖东,"32,242,373","458,070,670","15,400","96,893","2,137,460","460,208,130"
625,长安汽车,"1,955,240","2,972,342","63,800","337,837","1,398,645","4,370,987"
629,攀钢钒钛,"28,227,688","97,941,139","51,000","89,300","579,557","98,520,696"
630,铜陵有色,"27,660,445","455,639,559","382,853","338,301","6,343,144","461,982,703"
651,格力电器,"16,066,285","410,130,844","316,708","1,043,095","19,401,567","429,532,411"
652,泰达股份,"2,342,848","108,607,099","83,000","113,325","492,964","109,100,063"
655,金岭矿业,0,"819,778",0,0,0,"819,778"
680,山推股份,"6,897,580","24,102,587","86,600","55,400","521,868","24,624,455"
686,东北证券,"3,395,041","9,959,827","117,582","76,100","1,029,633","10,989,460"
690,宝新能源,"1,785,090","7,996,358","5,000","15,000","48,000","8,044,358"
709,河北钢铁,"9,807,043","293,593,419","139,300","367,500","1,102,500","294,695,919"
718,苏宁环球,"2,425,975","13,636,384","24,000","67,180","367,475","14,003,859"
728,国元证券,"10,845,853","296,406,413","34,400","62,802","566,474","296,972,887"
729,燕京啤酒,"3,184,721","119,868,765","135,500","85,218","1,193,052","121,061,817"
758,中色股份,"5,341,579","18,034,925","34,200","123,299","2,225,547","20,260,472"
762,西藏矿业,"2,099,715","17,182,663","7,300","34,800","743,328","17,925,991"
768,西飞国际,"9,115,631","188,765,397","485,700","369,051","2,830,621","191,596,018"
776,广发证券,"9,561,243","28,282,698","8,600","90,745","2,050,837","30,333,535"
778,新兴铸管,"4,704,438","15,089,532","67,000","35,300","244,629","15,334,161"
780,平庄能源,"2,091,404","4,639,323","41,879","61,546","709,625","5,348,948"
783,长江证券,"8,925,697","237,204,269","50,500","247,924","1,901,577","239,105,846"
786,北新建材,"539,522","9,031,717",0,"5,100","53,652","9,085,369"
792,盐湖股份,"18,133,597","408,363,160","119,800","165,229","5,758,230","414,121,390"
793,华闻传媒,"1,775,396","61,214,893","9,400","20,309","119,620","61,334,513"
800,一汽轿车,"2,754,114","85,581,304","196,600","536,326","5,079,008","90,660,312"
825,太钢不锈,"2,779,746","98,804,579","114,400","77,100","296,835","99,101,414"
829,天音控股,"848,989","2,927,954",0,"18,073","110,968","3,038,922"
839,中信国安,"23,266,439","410,683,244","48,600","182,669","1,273,202","411,956,446"
858,五 粮 液,"40,122,939","807,679,183","206,001","875,319","28,876,773","836,555,956"
869,张  裕Ａ,"990,940","7,276,678","9,500","37,034","3,925,234","11,201,912"
876,新 希 望,"2,666,679","22,464,289","36,729","94,522","1,558,668","24,022,957"
878,云南铜业,"6,376,232","144,292,390","88,424","136,569","2,305,284","146,597,674"
895,双汇发展,"4,287,773","36,861,497","17,900","229,500","16,342,695","53,204,192"
897,津滨发展,0,"4,058,746",0,"20,000","46,200","4,104,946"
898,鞍钢股份,"6,718,491","174,867,678","56,500","65,000","304,200","175,171,878"
917,电广传媒,"7,734,863","78,107,733","1,500","28,700","761,985","78,869,718"
927,一汽夏利,"697,841","1,653,883","24,300","46,208","303,124","1,957,007"
930,中粮生化,"2,061,213","18,926,371",0,0,0,"18,926,371"
933,神火股份,"7,435,925","266,496,137","467,300","515,212","5,316,988","271,813,125"
937,冀中能源,"53,770,783","585,702,168","604,253","487,393","9,011,897","594,714,065"
960,锡业股份,0,"309,295,272",0,"263,955","4,912,203","314,207,475"
968,煤 气 化,"9,614,597","16,259,857","130,100","59,800","940,056","17,199,913"
969,安泰科技,"3,005,716","29,920,848","137,863","153,452","2,502,803","32,423,651"
983,西山煤电,"14,311,222","597,304,109","638,398","787,814","12,636,536","609,940,645"
999,华润三九,"2,003,700","6,638,414","41,600","91,116","1,594,531","8,232,945"
2001,新 和 成,"3,716,693","8,036,154","4,800","15,434","296,333","8,332,487"
2007,华兰生物,"12,727,073","240,482,562","119,916","221,532","5,409,811","245,892,373"
2008,大族激光,"24,776,572","45,741,065","4,000","34,400","248,712","45,989,777"
2022,科华生物,"5,692,278","36,194,205","3,000","124,000","1,289,600","37,483,805"
2024,苏宁电器,"22,209,225","525,000,173","682,300","1,029,804","9,082,871","534,083,044"
2028,思源电气,"1,453,259","10,141,675","5,600","11,100","131,535","10,273,210"
2056,横店东磁,"12,714,900","23,431,974","9,300","12,900","218,655","23,650,629"
2069,獐 子 岛,"2,166,028","10,349,714","43,400","99,562","2,392,475","12,742,189"
2081,金 螳 螂,"221,430","8,482,129","6,400","56,015","1,938,119","10,420,248"
2092,中泰化学,"12,737,425","41,905,295","46,200","193,600","1,535,248","43,440,543"
2106,莱宝高科,"2,731,731","41,610,960","153,214","60,361","1,029,155","42,640,115"
2122,天马股份,"1,234,092","15,377,505",0,"79,000","550,630","15,928,135"
2128,露天煤业,"1,730,467","6,918,703","34,300","43,300","641,273","7,559,976"
2142,宁波银行,"19,092,382","212,021,627","126,600","175,100","1,661,699","213,683,326"
2146,荣盛发展,"2,140,142","5,883,578","24,200","302,296","2,524,172","8,407,750"
2155,辰州矿业,"7,912,991","26,375,088","24,800","31,800","704,370","27,079,458"
2202,金风科技,"12,159,159","335,498,739","282,500","275,400","2,291,328","337,790,067"
2304,洋河股份,"1,997,241","9,439,131","11,900","150,371","19,969,268","29,408,399"
159901,深100ETF,"10,232,473","37,312,065","9,124,400","9,267,700","5,467,943","42,780,008"
159902,中 小 板,"2,850,171","24,217,587","2,162,900","2,557,439","5,199,274","29,416,861"
159903,深成ETF,"28,823","2,199,033","1,213,800","1,243,800","1,171,660","3,370,693"
