证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股),融券余量(股),融券余额(元),融资融券余额(元)
1,平安银行,"114,684,020","3,489,896,788","315,600","728,440","8,733,995","3,498,630,783"
2,万  科Ａ,0,"2,105,296,289",0,"1,489,250","36,382,378","2,141,678,667"
6,深振业Ａ,"51,043,159","1,741,395,596",0,"37,500","431,625","1,741,827,221"
9,中国宝安,"180,145,257","4,075,335,172",0,"401,595","7,212,646","4,082,547,818"
12,南  玻Ａ,"187,465,776","1,555,676,518","7,200","128,000","1,708,800","1,557,385,318"
27,深圳能源,"32,430,805","1,052,587,752","51,000","245,630","2,409,631","1,054,997,383"
28,国药一致,0,"127,750,649",0,"1,000","66,150","127,816,799"
31,中粮地产,"57,397,152","1,740,363,754",0,"47,300","664,565","1,741,028,319"
39,中集集团,"120,368,930","1,813,904,293","11,300","267,929","5,626,509","1,819,530,802"
43,中航地产,"23,282,364","610,473,732",0,"2,100","25,263","610,498,995"
46,泛海控股,"25,832,953","701,806,306","8,200","78,200","981,410","702,787,716"
49,德赛电池,"47,071,262","689,889,168",0,"2,400","136,272","690,025,440"
50,深天马Ａ,"114,549,712","1,420,223,574",0,0,0,"1,420,223,574"
60,中金岭南,"121,307,931","1,755,244,707",0,"357,643","5,017,731","1,760,262,438"
61,农 产 品,"141,290,356","1,716,440,030","58,000","254,800","4,507,412","1,720,947,442"
62,深圳华强,"32,344,409","1,191,381,086",0,"1,400","51,240","1,191,432,326"
63,中兴通讯,"163,183,879","3,836,876,235","12,900","535,712","9,980,314","3,846,856,549"
69,华侨城Ａ,"74,948,634","2,172,982,933","7,000","520,600","4,581,280","2,177,564,213"
78,海王生物,"251,906,845","1,651,353,689",0,"1,500","35,940","1,651,389,629"
88,盐 田 港,"23,164,076","393,538,541",0,"5,000","43,100","393,581,641"
89,深圳机场,"12,424,494","630,271,502",0,"2,600","21,216","630,292,718"
99,中信海直,"23,664,667","867,620,703",0,"4,500","66,510","867,687,213"
100,TCL 集团,"77,925,981","3,164,175,399","233,600","857,570","3,653,248","3,167,828,647"
151,中成股份,"23,569,474","765,040,542",0,0,0,"765,040,542"
156,华数传媒,"94,467,818","1,396,106,522",0,"13,600","446,080","1,396,552,602"
157,中联重科,"31,576,330","1,596,985,474",0,"383,000","2,049,050","1,599,034,524"
333,美的集团,"89,491,786","1,953,535,044","30,128","130,728","4,290,493","1,957,825,537"
338,潍柴动力,"22,634,240","1,893,901,997","3,500","270,800","2,615,928","1,896,517,925"
400,许继电气,"81,921,114","1,206,215,422","13,800","163,400","3,174,862","1,209,390,284"
401,冀东水泥,"20,187,285","583,021,779","1,500","138,000","1,504,200","584,525,979"
402,金 融 街,"192,871,085","1,738,569,055","3,000","316,500","3,649,245","1,742,218,300"
410,沈阳机床,"141,840,051","1,886,292,881",0,"4,000","100,080","1,886,392,961"
413,东旭光电,"35,966,292","1,954,596,918","21,600","277,900","2,523,332","1,957,120,250"
415,渤海租赁,"46,765,531","1,249,137,871",0,0,0,"1,249,137,871"
417,合肥百货,"54,932,744","822,279,610",0,"1,300","14,209","822,293,819"
422,湖北宜化,"31,154,618","697,847,500","13,600","115,100","894,327","698,741,827"
423,东阿阿胶,"104,962,121","2,027,879,690","4,500","59,700","3,122,310","2,031,002,000"
425,徐工机械,"32,785,148","1,566,311,241","2,800","1,322,400","5,620,200","1,571,931,441"
426,兴业矿业,0,"265,249,193",0,"18,000","127,080","265,376,273"
501,鄂武商Ａ,"15,472,865","592,241,520",0,0,0,"592,241,520"
503,海虹控股,"118,016,160","2,884,243,547","3,000","112,116","3,754,765","2,887,998,312"
506,中润资源,"34,439,272","736,898,438",0,0,0,"736,898,438"
511,烯碳新材,"88,703,480","1,098,953,460",0,"18,100","211,951","1,099,165,411"
513,丽珠集团,"33,557,497","654,331,263",0,"3,120","179,181","654,510,444"
516,国际医学,"160,518,697","1,623,110,867",0,0,0,"1,623,110,867"
525,红 太 阳,"19,091,634","505,920,198",0,0,0,"505,920,198"
528,柳    工,"16,322,088","591,133,185","11,300","74,900","620,921","591,754,106"
536,华映科技,"25,273,948","783,124,919",0,100,"1,474","783,126,393"
537,广宇发展,"93,186,255","896,370,421",0,0,0,"896,370,421"
538,云南白药,"65,763,711","1,466,182,843","2,900","103,554","7,520,091","1,473,702,934"
539,粤电力Ａ,"7,093,235","453,158,946",0,360,"2,646","453,161,592"
540,中天城投,"85,701,729","2,009,204,728",0,"7,050","64,296","2,009,269,024"
541,佛山照明,"61,585,857","958,234,853",0,"2,800","46,760","958,281,613"
543,皖能电力,"32,350,899","1,049,773,112",0,0,0,"1,049,773,112"
550,江铃汽车,"8,416,514","162,499,412",500,"2,100","62,958","162,562,370"
551,创元科技,"57,212,233","684,918,702",0,0,0,"684,918,702"
552,靖远煤电,"59,045,517","206,206,271",0,"3,900","39,312","206,245,583"
554,泰山石油,"109,682,050","758,854,869",0,0,0,"758,854,869"
559,万向钱潮,"199,307,870","3,092,647,989","9,200","636,754","14,409,743","3,107,057,732"
563,陕国投Ａ,"54,866,676","801,001,446",0,"1,600","24,192","801,025,638"
566,海南海药,"119,004,468","1,953,256,192",0,"19,400","753,884","1,954,010,076"
568,泸州老窖,"69,876,256","980,882,080","2,000","174,500","4,732,440","985,614,520"
572,海马汽车,"80,533,895","811,790,458",0,600,"3,840","811,794,298"
581,威孚高科,"66,064,422","1,173,486,310","9,000","38,559","954,721","1,174,441,031"
592,平潭发展,"50,459,812","1,659,581,186",0,"3,500","69,930","1,659,651,116"
596,古井贡酒,"21,151,144","242,395,137",0,600,"21,900","242,417,037"
598,兴蓉环境,"25,705,720","1,462,331,038",0,"216,700","1,542,904","1,463,873,942"
607,华媒控股,"39,492,898","690,172,362",0,0,0,"690,172,362"
616,海航投资,"47,391,364","1,408,708,664",0,"16,300","128,118","1,408,836,782"
623,吉林敖东,"169,423,753","2,877,324,243","22,200","226,916","7,023,050","2,884,347,293"
625,长安汽车,"63,786,962","1,827,437,968","46,600","371,390","6,302,488","1,833,740,456"
629,攀钢钒钛,"113,436,936","1,348,414,178","28,389","729,189","2,676,124","1,351,090,302"
630,铜陵有色,"25,878,003","1,312,134,874",0,"572,200","2,048,476","1,314,183,350"
631,顺发恒业,"27,651,914","489,701,424",0,"4,900","48,608","489,750,032"
650,仁和药业,"33,503,878","1,300,236,844",0,0,0,"1,300,236,844"
651,格力电器,"138,129,022","3,725,061,663","2,300","781,213","17,460,110","3,742,521,773"
655,金岭矿业,"34,216,651","365,694,149",0,0,0,"365,694,149"
661,长春高新,"55,145,514","1,429,264,763",0,"7,000","843,150","1,430,107,913"
667,美好集团,"24,942,825","955,587,752",0,0,0,"955,587,752"
671,阳 光 城,"38,551,124","629,864,933",0,"11,000","99,330","629,964,263"
680,山推股份,"60,605,753","969,705,526",0,"69,100","528,615","970,234,141"
685,中山公用,"29,215,813","840,892,685","5,800","14,060","198,949","841,091,634"
686,东北证券,"244,489,229","3,383,642,939",300,"278,310","4,870,425","3,388,513,364"
690,宝新能源,"20,520,179","907,928,757",0,0,0,"907,928,757"
693,华泽钴镍,"38,823,370","752,160,241",0,0,0,"752,160,241"
697,炼石有色,"103,000,951","2,000,967,712",0,"3,800","105,716","2,001,073,428"
709,河北钢铁,"98,773,285","1,452,611,821","566,455","836,755","2,786,394","1,455,398,215"
712,锦龙股份,0,"2,435,671,803",0,"34,900","1,016,288","2,436,688,091"
718,苏宁环球,"59,884,811","973,540,202","1,600","108,070","1,425,442","974,965,644"
725,京东方Ａ,"154,765,071","5,953,177,715","5,000","1,311,000","3,893,670","5,957,071,385"
728,国元证券,"102,614,305","3,362,982,747",0,"245,086","5,536,492","3,368,519,239"
729,燕京啤酒,"8,304,196","410,399,869","19,500","72,400","595,852","410,995,721"
731,四川美丰,"39,595,873","972,136,158",0,"1,900","18,316","972,154,474"
732,泰禾集团,"36,008,750","441,894,866",0,0,0,"441,894,866"
738,中航动控,"68,313,222","1,333,663,939",0,"88,600","2,801,532","1,336,465,471"
739,普洛药业,"25,175,192","575,115,047",0,0,0,"575,115,047"
748,长城信息,0,"2,143,102,095",0,"18,300","638,304","2,143,740,399"
750,国海证券,"154,994,906","2,398,115,481","1,000","126,400","1,624,240","2,399,739,721"
758,中色股份,"16,942,641","850,263,433",0,"37,500","558,000","850,821,433"
761,本钢板材,"8,992,356","215,437,797",0,0,0,"215,437,797"
762,西藏矿业,"202,099,065","1,771,123,160",0,"6,500","170,950","1,771,294,110"
768,中航飞机,"96,945,603","2,146,859,621","5,100","847,337","20,988,537","2,167,848,158"
776,广发证券,"287,291,766","4,798,708,877",0,"462,600","8,997,570","4,807,706,447"
777,中核科技,"35,623,860","1,211,101,740",0,800,"25,112","1,211,126,852"
778,新兴铸管,"37,112,762","1,694,376,443","25,000","223,700","1,451,813","1,695,828,256"
780,平庄能源,"8,450,467","252,196,829",0,"21,100","121,114","252,317,943"
783,长江证券,"152,234,408","3,565,081,712","3,000","593,800","7,374,996","3,572,456,708"
786,北新建材,"30,761,774","716,708,511",0,"10,000","119,000","716,827,511"
788,北大医药,"16,259,330","386,756,879",0,0,0,"386,756,879"
789,万年青,"21,332,790","425,612,743",0,"7,600","64,448","425,677,191"
790,华神集团,"62,003,103","877,137,348",0,0,0,"877,137,348"
792,盐湖股份,"179,891,697","1,802,046,842","2,600","84,400","2,167,392","1,804,214,234"
793,华闻传媒,"119,628,161","2,538,009,015",0,"94,500","1,420,335","2,539,429,350"
800,一汽轿车,"73,487,467","1,283,450,253","22,700","275,317","4,506,939","1,287,957,192"
801,四川九洲,"18,675,389","687,195,860",0,0,0,"687,195,860"
807,云铝股份,"16,661,528","292,946,601",0,"23,200","166,808","293,113,409"
811,烟台冰轮,"42,918,149","622,416,163",0,"15,200","234,384","622,650,547"
812,陕西金叶,"35,480,810","550,339,365",0,65,832,"550,340,197"
816,智慧农业,"46,276,207","1,184,088,074",0,200,"1,668","1,184,089,742"
823,超声电子,"50,137,076","782,194,075",0,500,"5,825","782,199,900"
825,太钢不锈,"14,788,640","917,401,188",0,"79,100","324,310","917,725,498"
826,启迪桑德,"118,156,211","1,298,116,008","1,800","31,860","1,262,293","1,299,378,301"
829,天音控股,0,"625,211,875",0,"1,000","12,220","625,224,095"
830,鲁西化工,"36,788,952","904,861,814",0,200,"1,386","904,863,200"
831,五矿稀土,"73,052,884","1,584,205,958",0,"98,000","2,028,600","1,586,234,558"
839,中信国安,"207,328,007","3,015,029,695","5,300","187,955","3,824,884","3,018,854,579"
848,承德露露,"55,809,865","740,013,440",0,"1,200","19,800","740,033,240"
851,高鸿股份,"199,784,372","789,649,710",0,0,0,"789,649,710"
858,五 粮 液,"72,557,994","1,647,336,950","82,100","278,500","7,597,480","1,654,934,430"
860,顺鑫农业,"45,179,541","530,310,092",0,"3,000","63,900","530,373,992"
868,安凯客车,"42,605,215","625,558,953",0,0,0,"625,558,953"
869,张  裕Ａ,"17,727,271","281,647,636","9,803","25,779","1,180,163","282,827,799"
876,新 希 望,0,"672,945,168",0,"67,735","1,286,288","674,231,456"
877,天山股份,"20,334,032","638,761,882",0,0,0,"638,761,882"
878,云南铜业,"129,397,241","1,247,678,914",0,"95,670","1,325,030","1,249,003,944"
883,湖北能源,"16,571,480","981,970,928","1,800","35,200","216,128","982,187,056"
887,中鼎股份,"178,119,049","2,203,512,201",0,"2,300","54,280","2,203,566,481"
895,双汇发展,"21,164,683","711,266,821","2,200","68,761","1,403,412","712,670,233"
897,津滨发展,"34,132,369","526,546,448",0,0,0,"526,546,448"
898,鞍钢股份,"14,568,581","464,903,998","10,000","79,685","380,097","465,284,095"
901,航天科技,0,"435,651,002",0,97,"5,129","435,656,131"
905,厦门港务,"22,110,921","530,797,382",0,"2,399","31,883","530,829,265"
915,山大华特,"24,267,645","610,769,651",0,"1,000","35,160","610,804,811"
917,电广传媒,"134,137,072","4,321,793,696",0,"82,400","2,188,544","4,323,982,240"
921,海信科龙,"4,882,679","226,767,472",0,0,0,"226,767,472"
926,福星股份,"144,633,301","1,240,598,992",0,0,0,"1,240,598,992"
930,中粮生化,"53,578,569","1,455,986,527",0,"24,200","357,676","1,456,344,203"
933,神火股份,"43,949,242","492,922,371",0,"58,700","292,326","493,214,697"
937,冀中能源,"9,954,999","453,891,429","140,000","175,560","884,822","454,776,251"
938,紫光股份,"171,333,836","2,146,348,239","12,200","13,700","1,347,806","2,147,696,045"
939,凯迪生态,"95,444,355","946,616,860",0,500,"7,200","946,624,060"
960,锡业股份,"60,337,126","1,200,392,206","1,000","92,200","1,241,012","1,201,633,218"
961,中南建设,"16,625,549","604,871,555",0,"2,200","34,012","604,905,567"
962,东方钽业,"15,387,961","455,265,432",0,0,0,"455,265,432"
963,华东医药,"14,475,905","557,552,022",300,"68,101","5,581,558","563,133,580"
968,煤 气 化,0,"208,345,142",0,"32,500","283,075","208,628,217"
969,安泰科技,"39,157,782","860,589,161",0,"51,800","672,364","861,261,525"
970,中科三环,"60,379,857","1,455,137,649","50,000","145,500","2,041,365","1,457,179,014"
973,佛塑科技,0,"1,271,728,278",0,0,0,"1,271,728,278"
975,银泰资源,"18,021,427","568,135,671",0,0,0,"568,135,671"
977,浪潮信息,"200,054,395","2,588,958,330",0,0,0,"2,588,958,330"
979,中弘股份,"37,043,049","1,108,462,397",0,320,"1,280","1,108,463,677"
983,西山煤电,"33,650,474","565,413,395","34,200","137,800","837,824","566,251,219"
988,华工科技,"351,404,187","2,083,009,588","2,500","76,100","1,611,798","2,084,621,386"
989,九 芝 堂,"20,731,093","826,102,343",0,"3,900","125,658","826,228,001"
996,中国中期,"88,415,530","971,117,110",0,"2,000","56,660","971,173,770"
997,新 大 陆,"182,296,026","2,106,378,485",0,"4,000","101,280","2,106,479,765"
998,隆平高科,"49,090,284","1,132,290,845",0,"4,400","104,500","1,132,395,345"
999,华润三九,"21,523,026","571,835,402","7,000","49,626","1,354,790","573,190,192"
2001,新 和 成,"42,532,720","694,661,741","1,400","40,500","706,320","695,368,061"
2004,华邦健康,"58,706,635","1,459,277,972",0,0,0,"1,459,277,972"
2005,德豪润达,"97,737,100","1,154,022,060",0,0,0,"1,154,022,060"
2007,华兰生物,"59,390,712","936,806,503","4,000","33,100","1,456,400","938,262,903"
2008,大族激光,"81,391,082","2,191,545,983",0,"130,200","3,370,878","2,194,916,861"
2011,盾安环境,0,"962,943,314",0,0,0,"962,943,314"
2016,世荣兆业,"43,644,001","371,715,702",0,0,0,"371,715,702"
2022,科华生物,"56,728,205","1,352,588,534",0,0,0,"1,352,588,534"
2023,海特高新,"23,129,382","711,551,875","4,400","4,400","80,696","711,632,571"
2024,苏宁云商,"140,664,810","6,124,254,192","56,100","1,615,048","21,722,396","6,145,976,588"
2025,航天电器,"55,011,293","1,264,707,162",0,"4,600","119,554","1,264,826,716"
2028,思源电气,"47,386,970","805,834,394","5,000","5,400","85,806","805,920,200"
2029,七 匹 狼,"117,827,323","997,599,648",0,0,0,"997,599,648"
2030,达安基因,"91,649,255","1,863,266,674",0,"20,260","834,307","1,864,100,981"
2038,双鹭药业,"23,385,583","1,221,568,321","6,900","63,600","2,130,600","1,223,698,921"
2041,登海种业,"9,931,195","453,594,469",0,"1,900","32,015","453,626,484"
2048,宁波华翔,0,"545,682,613",0,0,0,"545,682,613"
2049,同方国芯,0,"1,336,018,902",0,"1,800","108,270","1,336,127,172"
2050,三花股份,"58,120,790","1,223,858,736","6,200","22,100","235,365","1,224,094,101"
2051,中工国际,"28,748,278","513,339,464",0,"58,040","1,470,153","514,809,617"
2055,得润电子,"139,884,479","1,067,683,697",0,"3,600","139,176","1,067,822,873"
2056,横店东磁,"59,471,666","863,592,714",0,0,0,"863,592,714"
2063,远光软件,"75,983,533","1,213,979,389",0,"1,630","34,458","1,214,013,847"
2064,华峰氨纶,"12,768,663","627,228,292",0,500,"3,245","627,231,537"
2065,东华软件,0,"1,926,106,747",0,"109,100","2,738,410","1,928,845,157"
2067,景兴纸业,"51,710,639","1,175,996,473",0,0,0,"1,175,996,473"
2069,獐 子 岛,"8,497,236","145,771,448",0,"1,900","25,954","145,797,402"
2070,众和股份,"361,927,579","1,582,298,565",0,0,0,"1,582,298,565"
2073,软控股份,"54,428,367","940,045,978",0,"3,300","55,770","940,101,748"
2078,太阳纸业,"31,208,534","586,791,297",0,0,0,"586,791,297"
2079,苏州固锝,"109,127,120","786,072,712",0,0,0,"786,072,712"
2081,金 螳 螂,"50,636,783","932,286,792","3,900","85,375","1,594,805","933,881,597"
2091,江苏国泰,"297,501,838","717,842,431",0,"2,000","53,140","717,895,571"
2092,中泰化学,"54,284,892","948,305,436","45,200","81,431","716,593","949,022,029"
2093,国脉科技,"119,545,408","941,277,176",0,"4,000","59,520","941,336,696"
