证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股),融券余量(股),融券余额(元),融资融券余额(元)
1,平安银行,"192,929,912","5,026,762,351","296,300","583,511","7,054,648","5,033,816,999"
2,万  科Ａ,"73,288,600","1,970,798,271","156,100","1,903,904","63,704,627","2,034,502,898"
6,深振业Ａ,"190,339,070","967,575,668","196,700","197,700","1,739,760","969,315,428"
9,中国宝安,"30,933,564","1,590,226,864",0,"39,450","246,957","1,590,473,821"
12,南  玻Ａ,"31,511,445","884,500,583","4,700","28,310","231,010","884,731,593"
22,深赤湾Ａ,0,"169,003,020",0,"20,000","482,800","169,485,820"
27,深圳能源,"10,859,249","403,235,883",0,"38,700","229,104","403,464,987"
28,国药一致,"7,068,280","222,656,292",0,"16,700","987,805","223,644,097"
30,富奥股份,"1,300,831","122,917,670",0,"3,000","23,040","122,940,710"
31,中粮地产,0,"626,682,287",0,"104,200","833,600","627,515,887"
36,华联控股,"22,177,789","469,879,935",0,"80,000","732,000","470,611,935"
39,中集集团,"50,302,112","1,256,195,884","24,000","109,500","2,100,210","1,258,296,094"
43,中航地产,"7,901,075","450,935,755",0,"23,200","212,976","451,148,731"
46,泛海控股,0,"442,750,160",0,"54,100","428,472","443,178,632"
49,德赛电池,"30,450,086","452,013,032","12,700","12,899","469,911","452,482,943"
50,深天马Ａ,"56,151,734","2,231,471,749",0,200,"3,522","2,231,475,271"
59,华锦股份,"42,029,259","836,982,409",0,400,"3,828","836,986,237"
60,中金岭南,"71,811,649","1,886,025,595","25,000","116,015","1,161,310","1,887,186,905"
61,农 产 品,"4,940,531","845,111,950",0,"64,600","446,386","845,558,336"
62,深圳华强,"22,064,629","611,116,362",0,900,"18,747","611,135,109"
63,中兴通讯,"377,640,672","4,394,045,556","282,100","581,531","19,551,072","4,413,596,628"
69,华侨城Ａ,"51,841,504","1,447,639,649","171,700","294,700","2,613,989","1,450,253,638"
78,海王生物,"14,119,275","691,564,926","221,600","231,100","1,388,911","692,953,837"
88,盐 田 港,"9,262,689","390,961,454",0,"135,692","1,076,038","392,037,492"
89,深圳机场,"6,198,416","360,414,110","25,600","71,300","621,023","361,035,133"
90,天健集团,"13,763,910","402,691,277",0,"2,300","23,483","402,714,760"
99,中信海直,"7,257,621","310,314,729","48,000","56,200","469,832","310,784,561"
100,TCL 集团,"93,695,989","2,535,480,490","160,000","401,200","1,532,584","2,537,013,074"
151,中成股份,"13,235,346","375,743,933","30,000","70,000","767,900","376,511,833"
156,华数传媒,0,"698,623,641",0,"14,100","160,740","698,784,381"
157,中联重科,"12,637,890","991,632,187",0,"297,200","1,286,876","992,919,063"
166,申万宏源,"14,494,792","676,369,194","18,700","156,150","791,681","677,160,875"
333,美的集团,"179,823,499","2,903,459,424","82,800","584,556","35,020,751","2,938,480,175"
338,潍柴动力,"39,161,764","2,006,922,896","527,242","5,379,278","44,594,214","2,051,517,110"
400,许继电气,"48,762,046","728,720,970","37,300","67,300","810,292","729,531,262"
401,冀东水泥,"183,713,232","1,422,028,302","45,500","345,400","5,167,184","1,427,195,486"
402,金 融 街,"9,026,945","1,259,282,772","9,000","138,980","1,453,731","1,260,736,503"
404,华意压缩,"40,464,753","499,041,255",0,0,0,"499,041,255"
413,东旭光电,"66,368,608","3,160,454,413","19,000","166,997","1,402,775","3,161,857,188"
415,渤海金控,0,"727,103,361",0,"16,300","95,192","727,198,553"
417,合肥百货,"5,902,590","467,338,276","11,100","165,200","1,310,036","468,648,312"
418,小天鹅Ａ,"6,112,220","145,830,290",0,"8,000","573,920","146,404,210"
423,东阿阿胶,"46,205,048","1,204,447,970","1,600","53,946","3,308,508","1,207,756,478"
425,徐工机械,"50,918,764","1,000,477,997","160,000","519,100","2,247,703","1,002,725,700"
426,兴业矿业,"60,936,233","669,178,140","64,800","131,361","1,372,722","670,550,862"
488,晨鸣纸业,"93,017,715","1,488,375,112","8,900","55,100","1,033,676","1,489,408,788"
501,鄂武商Ａ,"8,003,440","508,034,134",0,"14,560","238,638","508,272,772"
503,海虹控股,"71,469,158","3,061,560,691",400,"159,900","6,549,504","3,068,110,195"
506,中润资源,0,"350,148,923",0,400,"1,792","350,150,715"
513,丽珠集团,"50,927,825","629,666,980","4,600","15,487","1,160,440","630,827,420"
516,国际医学,0,"825,945,139",0,0,0,"825,945,139"
525,红 太 阳,"38,075,511","438,520,485","7,800","10,200","249,594","438,770,079"
528,柳    工,"65,241,047","553,481,916","39,000","49,000","490,000","553,971,916"
531,穗恒运Ａ,"2,681,071","189,937,902",0,0,0,"189,937,902"
536,华映科技,"17,609,251","558,407,357",0,0,0,"558,407,357"
537,广宇发展,"13,898,995","519,000,395",0,"45,800","600,438","519,600,833"
538,云南白药,"18,751,945","626,119,912","2,400","37,400","3,751,220","629,871,132"
539,粤电力Ａ,"1,565,542","371,639,539",0,0,0,"371,639,539"
540,中天金融,0,"1,054,590,382",0,"89,600","658,560","1,055,248,942"
541,佛山照明,"8,338,348","452,477,236",0,"29,937","267,038","452,744,274"
