证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股),融券余量(股),融券余额(元),融资融券余额(元)
1,平安银行,"721,497,249","5,129,879,448","313,405","813,916","11,923,869","5,141,803,317"
2,万  科Ａ,"321,207,067","1,801,879,979","804,529","3,176,126","130,157,644","1,932,037,623"
6,深振业Ａ,0,"956,053,957",0,"4,400","43,340","956,097,297"
9,中国宝安,"17,562,250","1,832,979,516",0,"79,650","544,009","1,833,523,525"
12,南  玻Ａ,"43,019,615","995,192,778","15,700","80,440","733,613","995,926,391"
22,深赤湾Ａ,0,"186,664,865",0,"20,000","482,800","187,147,665"
27,深圳能源,"5,519,902","419,310,559","5,100","50,700","312,312","419,622,871"
28,国药一致,"8,130,629","225,538,602",300,"3,500","219,310","225,757,912"
30,富奥股份,"6,327,189","154,104,831","1,000","49,500","406,890","154,511,721"
31,中粮地产,0,"652,311,073",0,"128,100","1,024,800","653,335,873"
36,华联控股,"79,672,062","455,180,146",0,"20,000","204,400","455,384,546"
39,中集集团,"69,754,457","1,393,291,551","8,800","201,300","4,499,055","1,397,790,606"
43,中航地产,"10,095,364","502,877,316",0,"2,000","20,360","502,897,676"
46,泛海控股,0,"469,991,326",0,"54,100","428,472","470,419,798"
49,德赛电池,"22,397,291","499,266,233","1,800","2,083","76,863","499,343,096"
50,深天马Ａ,"49,662,712","2,286,613,583",600,"15,800","304,624","2,286,918,207"
59,华锦股份,"45,395,596","794,297,436","19,100","20,500","215,455","794,512,891"
60,中金岭南,"286,191,909","2,077,807,045","211,700","270,333","3,192,633","2,080,999,678"
61,农 产 品,"8,947,972","875,669,450","32,100","84,142","675,660","876,345,110"
62,深圳华强,"11,604,667","696,724,474",0,"1,200","27,708","696,752,182"
63,中兴通讯,"543,335,572","5,342,577,462","77,100","430,230","15,651,767","5,358,229,229"
69,华侨城Ａ,"155,402,822","1,403,233,370","579,800","1,636,800","16,973,616","1,420,206,986"
78,海王生物,"11,783,847","757,106,815",0,0,0,"757,106,815"
88,盐 田 港,"15,126,859","410,124,287","36,000","195,992","1,624,774","411,749,061"
89,深圳机场,"39,073,513","416,262,823",400,"5,400","48,600","416,311,423"
90,天健集团,"19,713,482","490,289,586","1,000","9,800","108,290","490,397,876"
99,中信海直,"4,456,508","379,969,382",0,"1,200","11,244","379,980,626"
100,TCL 集团,"96,301,263","2,663,413,531","460,200","847,900","3,255,936","2,666,669,467"
151,中成股份,"14,651,341","456,597,159","41,000","66,000","847,440","457,444,599"
156,华数传媒,0,"755,998,803",0,"17,100","194,940","756,193,743"
157,中联重科,"42,416,260","1,070,561,476","601,100","753,500","3,503,775","1,074,065,251"
166,申万宏源,"51,248,546","769,799,720",0,"157,700","878,389","770,678,109"
333,美的集团,"176,584,967","2,944,099,496","58,400","416,081","25,846,952","2,969,946,448"
338,潍柴动力,"185,082,688","2,090,938,005","977,700","5,370,100","49,297,518","2,140,235,523"
400,许继电气,"12,228,667","770,771,841",0,"71,076","886,318","771,658,159"
401,冀东水泥,"138,532,236","1,630,882,413","58,000","200,900","2,804,564","1,633,686,977"
402,金 融 街,"74,748,104","1,314,352,180","145,200","347,980","4,255,795","1,318,607,975"
404,华意压缩,"10,394,355","432,144,583",0,0,0,"432,144,583"
413,东旭光电,"41,857,169","3,623,895,697","6,400","171,897","1,557,387","3,625,453,084"
415,渤海金控,0,"824,265,110",0,"16,300","95,192","824,360,302"
417,合肥百货,"10,076,659","486,185,519",0,"11,100","89,355","486,274,874"
418,小天鹅Ａ,"8,362,685","130,977,099",0,"8,000","593,520","131,570,619"
423,东阿阿胶,"40,994,147","1,291,831,294",700,"24,635","1,676,658","1,293,507,952"
425,徐工机械,"172,947,213","1,071,521,599","2,223,400","2,484,200","11,874,476","1,083,396,075"
426,兴业矿业,"87,436,269","608,436,114","83,200","192,811","2,066,934","610,503,048"
488,晨鸣纸业,"133,368,066","1,547,077,690","8,300","26,900","486,890","1,547,564,580"
501,鄂武商Ａ,"37,621,916","544,688,928",0,"6,760","117,692","544,806,620"
503,海虹控股,"34,673,631","3,097,979,785","13,300","115,100","4,621,265","3,102,601,050"
506,中润资源,"1,868,367","319,462,953",0,"11,500","82,685","319,545,638"
513,丽珠集团,"76,175,361","664,003,974","1,000","11,187","866,992","664,870,966"
516,国际医学,0,"898,795,807",0,0,0,"898,795,807"
525,红 太 阳,"30,963,619","427,730,329",0,"15,000","356,700","428,087,029"
528,柳    工,"21,731,414","498,234,428","30,000","31,600","271,128","498,505,556"
531,穗恒运Ａ,"1,485,659","224,937,697",0,0,0,"224,937,697"
536,华映科技,"11,914,723","577,301,241",0,0,0,"577,301,241"
537,广宇发展,"160,052,547","580,761,286","146,300","223,000","3,525,630","584,286,916"
538,云南白药,"44,892,811","718,243,531","1,200","25,800","2,699,970","720,943,501"
539,粤电力Ａ,"2,171,724","374,996,954",0,0,0,"374,996,954"
540,中天金融,0,"1,109,844,421",0,"119,600","879,060","1,110,723,481"
541,佛山照明,"17,305,291","482,451,083",0,"6,900","65,067","482,516,150"
543,皖能电力,"8,877,233","483,974,268",0,"3,100","15,872","483,990,140"
550,江铃汽车,"27,033,684","243,705,520",0,"9,800","194,530","243,900,050"
551,创元科技,"4,049,273","584,433,754",0,0,0,"584,433,754"
552,靖远煤电,"7,924,217","363,686,013",0,200,730,"363,686,743"
554,泰山石油,"7,826,513","407,561,955","194,494","284,494","2,301,556","409,863,511"
559,万向钱潮,"12,588,946","1,434,749,643",0,"99,320","989,227","1,435,738,870"
563,陕国投Ａ,"36,011,854","620,619,730",0,"48,800","223,992","620,843,722"
565,渝三峡Ａ,"3,105,398","205,639,401",0,0,0,"205,639,401"
568,泸州老窖,"56,400,558","1,257,748,022","32,100","238,219","16,799,203","1,274,547,225"
572,海马汽车,"13,187,672","604,558,929",0,"7,700","36,652","604,595,581"
