证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股),融券余量(股),融券余额(元),融资融券余额(元)
1,平安银行,"65,167,812","3,174,027,042",0,"439,018","4,557,006","3,178,584,048"
2,万  科Ａ,"81,798,155","3,267,815,665","256,000","1,191,754","15,016,100","3,282,831,765"
6,深振业Ａ,"40,532,542","1,047,340,860",0,"38,650","360,605","1,047,701,465"
9,中国宝安,"166,496,729","2,184,267,033",0,"400,451","4,200,731","2,188,467,764"
12,南  玻Ａ,"158,655,613","1,425,939,443",0,"105,691","967,073","1,426,906,516"
24,招商地产,"427,308,162","1,649,643,124","19,300","327,650","8,984,163","1,658,627,287"
27,深圳能源,"25,803,884","844,678,835",0,"403,900","3,671,453","848,350,288"
28,国药一致,"9,069,516","222,676,690",0,"1,748","98,080","222,774,770"
31,中粮地产,"100,162,770","1,200,985,964",0,"124,897","1,486,274","1,202,472,238"
39,中集集团,"31,559,405","1,267,200,753","8,100","166,100","2,832,005","1,270,032,758"
43,中航地产,"22,988,788","562,360,341",0,"4,976","37,071","562,397,412"
46,泛海控股,"8,747,137","501,995,864",0,"85,300","831,675","502,827,539"
49,德赛电池,"12,436,912","311,787,189",0,"3,122","118,293","311,905,482"
50,深天马Ａ,"109,267,407","815,182,518",0,114,"1,619","815,184,137"
60,中金岭南,"50,769,300","1,405,995,341",0,"474,740","4,429,324","1,410,424,665"
61,农 产 品,"45,675,096","1,553,938,614","9,600","194,100","2,814,450","1,556,753,064"
62,深圳华强,"62,203,591","831,539,561",0,"17,844","530,145","832,069,706"
63,中兴通讯,"99,028,744","3,119,254,774","7,400","488,563","7,587,383","3,126,842,157"
69,华侨城Ａ,"32,506,302","1,882,945,444",0,"597,935","4,185,545","1,887,130,989"
78,海王生物,"46,647,393","987,753,947",0,"1,554","19,891","987,773,838"
88,盐 田 港,"61,912,660","404,762,659",0,"6,707","49,364","404,812,023"
89,深圳机场,"22,428,275","616,085,774",0,"13,127","83,488","616,169,262"
99,中信海直,"50,696,786","563,849,406",0,"4,516","56,902","563,906,308"
100,TCL 集团,"39,282,385","3,117,755,538",0,"2,134,040","8,002,651","3,125,758,189"
151,中成股份,"57,033,190","606,530,612",0,0,0,"606,530,612"
156,华数传媒,"7,772,510","253,244,162",0,"2,727","70,902","253,315,064"
157,中联重科,"23,637,853","1,706,228,410",0,"584,200","2,891,790","1,709,120,200"
333,美的集团,"39,377,688","1,450,536,263",0,"50,100","1,230,957","1,451,767,220"
338,潍柴动力,"16,332,090","1,947,689,430","59,900","268,900","2,264,138","1,949,953,568"
400,许继电气,"32,536,651","1,018,577,210",0,"86,342","1,395,287","1,019,972,497"
401,冀东水泥,"15,352,657","569,891,605",0,"154,242","1,297,175","571,188,780"
402,金 融 街,"15,956,285","1,175,175,833",0,"250,093","2,043,260","1,177,219,093"
410,沈阳机床,"96,947,338","1,297,959,902",0,"4,093","70,809","1,298,030,711"
413,东旭光电,"41,402,388","1,582,162,667","10,000","368,690","2,695,124","1,584,857,791"
415,渤海租赁,"20,233,102","1,184,770,637",0,0,0,"1,184,770,637"
417,合肥百货,"9,908,823","792,117,643",0,"4,246","35,497","792,153,140"
422,湖北宜化,"9,180,553","573,653,932",0,"80,600","502,138","574,156,070"
423,东阿阿胶,"32,373,940","1,494,687,464","9,200","61,887","2,565,216","1,497,252,680"
425,徐工机械,"103,883,577","1,526,852,054",0,"1,128,400","4,637,724","1,531,489,778"
426,兴业矿业,0,"303,736,643",0,"42,798","208,426","303,945,069"
501,鄂武商Ａ,"4,183,713","305,306,949",0,"1,052","17,074","305,324,023"
503,海虹控股,"209,554,165","1,978,185,272",0,"219,414","5,331,760","1,983,517,032"
506,中润资源,"30,900,724","550,333,687",0,"7,000","48,160","550,381,847"
511,烯碳新材,0,"734,071,019",0,"25,118","223,801","734,294,820"
513,丽珠集团,0,"380,433,186",0,"4,878","260,242","380,693,428"
516,国际医学,"58,352,418","1,103,162,789",0,0,0,"1,103,162,789"
525,红 太 阳,"8,436,504","366,089,266",0,0,0,"366,089,266"
528,柳    工,"12,406,753","616,403,884",0,"89,051","653,634","617,057,518"
536,华映科技,0,"462,969,794",0,0,0,"462,969,794"
537,广宇发展,"59,592,002","662,520,599",0,83,598,"662,521,197"
538,云南白药,"16,171,603","1,392,115,145","7,000","110,942","7,039,269","1,399,154,414"
539,粤电力Ａ,"6,937,464","367,659,712",0,"2,720","18,523","367,678,235"
540,中天城投,0,"1,183,222,311",0,"109,584","804,347","1,184,026,658"
541,佛山照明,"15,846,812","647,625,152",0,"2,882","27,293","647,652,445"
543,皖能电力,"20,683,153","713,141,797",0,1,12,"713,141,809"
550,江铃汽车,"2,717,430","168,889,846",900,"6,849","172,595","169,062,441"
551,创元科技,"18,140,166","548,267,956",0,81,680,"548,268,636"
552,靖远煤电,"11,025,898","196,326,844",0,"9,200","69,092","196,395,936"
554,泰山石油,"29,954,496","555,838,629",0,69,613,"555,839,242"
559,万向钱潮,"393,578,593","2,181,725,021","30,400","595,994","11,770,882","2,193,495,903"
563,陕国投Ａ,"14,256,966","481,284,154",0,"3,697","30,057","481,314,211"
566,海南海药,0,"744,167,406",0,"29,300","1,464,121","745,631,527"
568,泸州老窖,"22,095,360","789,721,155","15,100","96,220","1,968,661","791,689,816"
572,海马汽车,"118,663,732","530,920,125",0,"10,570","64,054","530,984,179"
581,威孚高科,"40,272,350","952,055,566","5,200","66,559","1,398,405","953,453,971"
592,平潭发展,"69,964,098","1,181,241,786",0,"11,086","149,328","1,181,391,114"
596,古井贡酒,"9,788,469","160,836,881",0,567,"15,247","160,852,128"
598,兴蓉环境,"23,411,847","1,085,442,472",0,"211,903","1,216,323","1,086,658,795"
607,华媒控股,"11,671,108","467,222,296",0,0,0,"467,222,296"
616,海航投资,"25,014,134","1,028,791,108",0,"26,600","172,900","1,028,964,008"
623,吉林敖东,"44,661,699","2,181,836,453","10,900","261,569","6,016,087","2,187,852,540"
625,长安汽车,"124,988,900","1,930,222,153","49,400","257,009","3,449,060","1,933,671,213"
629,攀钢钒钛,"15,882,106","917,306,216","109,000","1,281,268","3,766,928","921,073,144"
630,铜陵有色,0,"136,057,107",0,"1,163,935","3,899,183","139,956,290"
631,顺发恒业,"15,529,772","326,138,476",0,"4,900","30,086","326,168,562"
650,仁和药业,"63,317,156","734,538,247",0,"18,400","158,791","734,697,038"
651,格力电器,"81,513,454","3,844,694,557","250,000","1,091,481","17,190,826","3,861,885,383"
655,金岭矿业,"9,597,775","205,294,402",0,"10,400","73,216","205,367,618"
661,长春高新,"29,947,089","716,065,910",0,"7,235","719,087","716,784,997"
667,美好集团,"27,533,027","727,403,261",0,102,448,"727,403,709"
671,阳 光 城,"13,111,141","470,750,511",0,"22,645","125,680","470,876,191"
680,山推股份,"8,424,506","450,721,230",0,"72,100","358,337","451,079,567"
685,中山公用,"15,017,223","476,595,310",0,"30,920","338,265","476,933,575"
686,东北证券,"134,808,271","1,784,261,940",0,"212,500","2,335,375","1,786,597,315"
690,宝新能源,"16,386,710","659,780,061",0,"15,903","112,116","659,892,177"
693,华泽钴镍,"23,713,886","542,532,589",0,0,0,"542,532,589"
697,炼石有色,"69,409,605","757,843,204",0,"5,600","97,440","757,940,644"
709,河北钢铁,"55,484,714","1,093,135,226","1,600","565,770","1,748,229","1,094,883,455"
712,锦龙股份,0,"1,492,278,694",0,"25,617","557,170","1,492,835,864"
718,苏宁环球,"23,067,878","695,676,905",600,"141,341","918,717","696,595,622"
725,京东方Ａ,"130,254,549","5,616,194,328",0,"1,998,925","5,577,001","5,621,771,329"
728,国元证券,"110,213,163","2,208,894,179","39,300","286,538","4,613,262","2,213,507,441"
729,燕京啤酒,"7,270,627","563,181,056","23,400","132,200","1,002,076","564,183,132"
731,四川美丰,"29,032,797","733,546,750",0,"1,900","15,447","733,562,197"
732,泰禾集团,"7,087,372","224,115,405",0,90,"1,796","224,117,201"
738,中航动控,"29,369,042","942,626,488",0,"26,900","552,526","943,179,014"
739,普洛药业,"9,407,315","467,498,522",0,18,117,"467,498,639"
748,长城信息,0,"2,280,140,230",0,"23,700","826,656","2,280,966,886"
750,国海证券,"49,253,242","1,618,953,210",0,"91,500","828,075","1,619,781,285"
758,中色股份,"29,590,709","777,113,021",0,"49,552","613,949","777,726,970"
761,本钢板材,"3,756,344","154,592,585",0,0,0,"154,592,585"
762,西藏矿业,"59,087,145","549,022,663",0,"6,544","80,688","549,103,351"
768,中航飞机,"81,680,630","1,549,231,009",0,"802,684","16,366,727","1,565,597,736"
776,广发证券,"101,589,843","2,983,037,526",0,"254,000","3,312,160","2,986,349,686"
777,中核科技,"135,961,738","877,602,877",0,"1,928","54,350","877,657,227"
778,新兴铸管,"197,471,588","1,726,759,456",900,"396,050","2,590,167","1,729,349,623"
780,平庄能源,"24,196,606","264,559,982",0,"44,900","225,398","264,785,380"
783,长江证券,"89,246,877","2,500,790,276",900,"2,132,355","19,681,636","2,520,471,912"
