证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股),融券余量(股),融券余额(元),融资融券余额(元)
1,平安银行,"43,358,687","3,132,206,636",0,"191,584","1,747,246","3,133,953,882"
2,万  科Ａ,"114,760,479","2,151,968,520","275,800","802,000","17,058,540","2,169,027,060"
6,深振业Ａ,"7,461,100","1,300,217,964",0,"200,000","1,700,000","1,301,917,964"
9,中国宝安,"57,414,694","2,610,002,971","100,000","166,050","1,580,796","2,611,583,767"
12,南  玻Ａ,"24,133,144","1,151,802,951",0,"70,300","791,578","1,152,594,529"
22,深赤湾Ａ,"43,129,421","214,432,369",0,"10,000","209,900","214,642,269"
27,深圳能源,"4,380,368","539,964,577",0,"45,750","318,878","540,283,455"
28,国药一致,"2,344,710","118,408,662",500,"4,500","336,150","118,744,812"
30,富奥股份,"4,377,078","104,326,078","2,000","9,600","82,656","104,408,734"
31,中粮地产,"8,354,570","899,372,945","31,800","49,700","411,516","899,784,461"
39,中集集团,"12,660,824","857,221,212","14,600","133,966","2,179,627","859,400,839"
43,中航地产,"32,729,514","664,199,925","19,600","25,000","316,250","664,516,175"
46,泛海控股,"8,943,756","632,944,337",200,"240,300","2,193,939","635,138,276"
49,德赛电池,"58,396,774","456,453,424","10,500","31,238","1,608,445","458,061,869"
50,深天马Ａ,"191,769,071","1,205,802,486",200,200,"3,950","1,205,806,436"
60,中金岭南,"33,525,491","1,769,828,104",0,"107,200","1,203,856","1,771,031,960"
61,农 产 品,"2,035,440","957,290,164",500,"38,300","432,407","957,722,571"
62,深圳华强,"10,250,156","746,518,023","3,800","13,000","343,720","746,861,743"
63,中兴通讯,"168,746,297","3,391,610,507","49,300","299,972","5,252,510","3,396,863,017"
69,华侨城Ａ,"38,941,742","1,212,694,773","3,400","330,800","2,411,532","1,215,106,305"
78,海王生物,"8,957,452","849,066,776",0,0,0,"849,066,776"
88,盐 田 港,"20,898,036","325,803,770","66,300","111,600","863,784","326,667,554"
89,深圳机场,"13,184,882","308,708,964",0,"53,400","473,124","309,182,088"
90,天健集团,"10,060,450","61,177,577",0,0,0,"61,177,577"
99,中信海直,"14,744,319","607,608,557",0,0,0,"607,608,557"
100,TCL 集团,"58,177,344","1,845,352,950","21,000","249,600","906,048","1,846,258,998"
151,中成股份,"142,300,095","599,367,544",0,"40,000","951,200","600,318,744"
156,华数传媒,"21,781,080","877,742,498","19,842","26,139","448,284","878,190,782"
