证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股),融券余量(股),融券余额(元),融资融券余额(元)
1,平安银行,"105,933,051","1,688,536,973","3,580,376","2,144,045","22,941,280","1,711,478,253"
2,万  科Ａ,"83,067,820","1,560,515,098","2,924,642","7,066,265","68,825,421","1,629,340,519"
6,深振业Ａ,"14,293,936","248,674,543","12,200","212,940","1,043,406","249,717,949"
9,中国宝安,0,"1,340,924,892",0,"748,387","6,346,321","1,347,271,213"
12,南  玻Ａ,"44,150,269","454,980,001","286,200","783,709","5,705,402","460,685,403"
21,长城开发,"22,830,746","395,362,758","125,608","316,528","1,883,341","397,246,099"
24,招商地产,"108,959,369","908,703,897","681,544","692,700","8,450,940","917,154,837"
27,深圳能源,"40,650,976","292,331,525","244,900","405,700","2,450,428","294,781,953"
28,国药一致,"7,879,928","190,060,609","1,100","47,512","2,280,576","192,341,185"
31,中粮地产,"95,243,878","479,500,690","28,100","362,300","1,865,845","481,366,535"
39,中集集团,"23,882,233","660,963,869","107,600","1,008,707","14,969,211","675,933,080"
43,中航地产,"8,633,527","140,398,888","24,600","148,793","779,675","141,178,563"
46,泛海控股,"6,087,588","219,688,665","67,200","462,966","2,333,348","222,022,013"
49,德赛电池,"29,768,095","322,817,374","6,000","17,800","654,328","323,471,702"
50,深天马Ａ,"178,852,302","819,876,833","31,595","42,600","698,640","820,575,473"
59,华锦股份,"417,118,128","617,985,932","18,600","303,162","1,970,553","619,956,485"
60,中金岭南,"64,538,609","349,594,777","606,800","1,263,380","10,220,744","359,815,521"
61,农 产 品,"99,244,460","1,105,963,073","1,439,814","528,117","5,360,387","1,111,323,460"
62,深圳华强,"29,651,628","424,749,015",300,"19,500","294,450","425,043,465"
63,中兴通讯,"138,816,931","1,769,073,200","564,284","1,312,491","17,823,628","1,786,896,828"
69,华侨城Ａ,"58,363,201","1,407,661,342","2,574,353","2,343,363","13,310,301","1,420,971,643"
88,盐 田 港,"14,848,806","316,751,054","2,500","18,800","96,256","316,847,310"
89,深圳机场,"5,743,893","69,959,601","77,700","133,600","537,072","70,496,673"
100,TCL 集团,0,"1,286,533,129",0,"1,779,633","4,324,508","1,290,857,637"
156,华数传媒,"24,301,336","251,411,994","16,532","25,225","727,994","252,139,988"
157,中联重科,"65,535,305","809,907,758","3,200,546","3,080,933","14,480,385","824,388,143"
338,潍柴动力,"114,295,411","876,891,081","218,023","938,129","19,119,069","896,010,150"
400,许继电气,"60,053,117","858,032,748","341,586","261,920","5,861,770","863,894,518"
401,冀东水泥,"35,388,860","256,084,827","459,302","463,700","3,899,717","259,984,544"
402,金 融 街,"55,800,472","503,033,732","576,067","1,297,133","8,197,880","511,231,612"
417,合肥百货,"15,093,868","211,940,690","48,800","110,100","630,873","212,571,563"
422,湖北宜化,"28,538,433","296,894,204","58,300","607,051","3,302,357","300,196,561"
423,东阿阿胶,"44,157,797","640,305,140","185,400","525,235","19,134,311","659,439,451"
425,徐工机械,"41,234,853","254,114,174","598,336","1,698,249","13,450,132","267,564,306"
426,兴业矿业,"57,107,297","354,355,178","39,700","77,300","853,392","355,208,570"
501,鄂武商Ａ,"10,795,161","202,820,174","21,300","213,665","2,610,986","205,431,160"
503,海虹控股,"35,783,067","1,656,099,477","224,365","596,731","11,266,281","1,667,365,758"
506,中润资源,"29,614,463","189,756,088",0,"84,500","385,320","190,141,408"
511,烯碳新材,"220,565,222","1,284,067,712","283,100","98,800","902,044","1,284,969,756"
513,丽珠集团,"4,132,226","82,228,898","1,000","19,900","990,622","83,219,520"
525,红 太 阳,"62,171,360","352,591,306","3,900","19,100","270,838","352,862,144"
528,柳    工,"40,260,065","408,001,162","348,522","363,617","2,261,698","410,262,860"
537,广宇发展,"20,852,858","286,334,376","31,000","120,500","745,895","287,080,271"
538,云南白药,"61,068,384","566,258,895","673,123","714,909","39,141,271","605,400,166"
