证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股),融券余量(股),融券余额(元),融资融券余额(元)
1,平安银行,"255,330,413","4,826,319,108","14,900","507,235","6,553,476","4,832,872,584"
2,万  科Ａ,"540,383,734","5,413,188,283","18,900","1,034,835","15,594,964","5,428,783,247"
6,深振业Ａ,"190,828,720","1,333,219,791",0,"45,050","572,135","1,333,791,926"
9,中国宝安,0,"2,846,836,953",0,"119,229","1,273,366","2,848,110,319"
12,南  玻Ａ,"157,031,746","1,803,826,527",0,"221,309","2,892,508","1,806,719,035"
24,招商地产,0,"870,458,027",0,"477,956","15,122,528","885,580,555"
27,深圳能源,"178,795,328","1,167,541,920",0,"227,042","2,717,693","1,170,259,613"
28,国药一致,"86,882,883","326,990,025",0,"15,438","1,227,475","328,217,500"
31,中粮地产,"394,988,385","1,565,305,667",0,"191,897","3,717,045","1,569,022,712"
39,中集集团,"227,373,602","1,738,342,766",0,"187,493","4,850,444","1,743,193,210"
43,中航地产,"131,683,630","761,843,043",0,"6,076","78,563","761,921,606"
46,泛海控股,"65,900,729","990,137,502",0,"70,939","939,942","991,077,444"
49,德赛电池,"76,544,480","468,327,484",0,"12,422","674,515","469,001,999"
50,深天马Ａ,"151,819,695","1,033,870,848",0,"7,214","160,367","1,034,031,215"
60,中金岭南,"244,421,185","2,376,507,517",0,"168,078","2,492,596","2,379,000,113"
61,农 产 品,"119,022,368","1,565,135,454",0,"136,935","2,352,543","1,567,487,997"
62,深圳华强,0,"896,859,424",0,"22,544","888,234","897,747,658"
63,中兴通讯,"618,092,534","4,886,873,579",0,"322,987","6,979,749","4,893,853,328"
69,华侨城Ａ,"222,415,975","3,266,326,867",0,"449,406","4,485,071","3,270,811,938"
78,海王生物,"213,496,049","1,323,089,207",0,"1,554","30,862","1,323,120,069"
88,盐 田 港,"106,578,864","643,618,505",0,"13,607","143,554","643,762,059"
89,深圳机场,"149,473,930","873,570,222",0,"38,001","342,769","873,912,991"
99,中信海直,"396,266,651","1,027,371,360",0,"8,212","197,088","1,027,568,448"
100,TCL 集团,"574,452,706","4,842,739,154",0,"1,394,172","7,528,529","4,850,267,683"
151,中成股份,"104,399,036","700,310,296",0,0,0,"700,310,296"
156,华数传媒,"48,369,558","415,735,224",0,"3,261","113,124","415,848,348"
157,中联重科,"212,734,542","2,333,932,083",0,"545,659","3,694,111","2,337,626,194"
333,美的集团,"212,410,275","1,565,543,970",0,"172,054","6,013,287","1,571,557,257"
