证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股),融券余量(股),融券余额(元),融资融券余额(元)
1,平安银行,"40,023,439","3,108,083,263","1,622,204","1,235,270","14,032,667","3,122,115,930"
2,万  科Ａ,"57,646,808","2,381,773,615","2,514,676","3,377,973","24,388,964","2,406,162,579"
6,深振业Ａ,"3,281,176","186,515,540",0,"7,800","33,462","186,549,002"
9,中国宝安,"7,528,762","1,136,298,716","113,710","411,018","3,555,305","1,139,854,021"
12,南  玻Ａ,"21,880,247","642,731,927","566,783","444,367","3,457,175","646,189,102"
21,长城开发,"13,849,907","223,229,135","157,300","367,406","2,248,525","225,477,660"
24,招商地产,"25,814,748","722,568,925","209,294","340,833","5,933,902","728,502,827"
27,深圳能源,"9,263,554","223,890,438",0,"23,516","121,813","224,012,251"
28,国药一致,"7,169,067","138,718,159","1,700","53,650","2,700,205","141,418,364"
31,中粮地产,"1,681,793","249,670,053",0,"107,300","357,309","250,027,362"
39,中集集团,"34,140,895","911,424,534","335,458","1,008,299","17,090,668","928,515,202"
43,中航地产,"1,202,833","123,576,310",0,"88,890","483,562","124,059,872"
46,泛海建设,"1,137,376","190,963,185","211,000","794,583","3,424,652","194,387,837"
49,德赛电池,"11,326,942","186,754,419","4,600","20,776","1,406,535","188,160,954"
50,深天马Ａ,"33,287,726","340,922,291","45,900","42,000","527,520","341,449,811"
59,辽通化工,"3,762,832","327,784,100","13,300","77,800","335,318","328,119,418"
60,中金岭南,"1,452,641","209,984,462","51,801","966,046","5,361,554","215,346,016"
61,农 产 品,"19,297,330","1,054,716,530","62,800","540,386","4,263,645","1,058,980,175"
62,深圳华强,"37,578,722","179,196,177","3,600",200,"2,434","179,198,611"
63,中兴通讯,"52,901,987","1,534,002,704","2,761,010","1,121,394","14,331,415","1,548,334,119"
69,华侨城Ａ,"53,516,965","828,396,493","994,380","932,920","4,403,383","832,799,876"
88,盐 田 港,"13,730,387","366,165,039","5,200","42,700","241,255","366,406,294"
89,深圳机场,"763,073","79,551,193","2,000","22,200","88,800","79,639,993"
100,TCL 集团,"35,900,729","1,253,440,884","837,600","1,317,700","3,004,356","1,256,445,240"
156,华数传媒,"13,971,408","87,429,330","29,202","21,616","480,308","87,909,638"
157,中联重科,"4,277,489","993,249,998","170,600","2,093,315","10,529,375","1,003,779,373"
338,潍柴动力,"7,322,068","499,166,981","237,728","279,660","4,977,948","504,144,929"
400,许继电气,"25,991,325","433,340,683","129,330","228,037","7,479,613","440,820,296"
401,冀东水泥,"12,846,689","280,194,931","241,730","215,505","1,583,962","281,778,893"
402,金 融 街,"11,120,361","634,735,617","52,619","382,200","1,838,382","636,573,999"
417,合肥百货,"2,152,098","270,436,252","13,600","109,451","605,264","271,041,516"
422,湖北宜化,"8,014,415","426,892,338","70,500","308,219","1,803,080","428,695,418"
423,东阿阿胶,"10,068,061","638,524,548","132,637","332,092","12,154,566","650,679,114"
425,徐工机械,"2,614,174","273,073,466","148,206","417,626","2,869,090","275,942,556"
426,兴业矿业,"6,295,141","133,512,924","16,900","30,605","212,399","133,725,323"
501,鄂武商Ａ,"4,002,873","219,003,303","14,000","41,951","474,046","219,477,349"
503,海虹控股,"40,283,012","1,773,475,632","16,730","460,230","9,227,611","1,782,703,243"
506,中润资源,"7,618,040","142,215,956","200,300","40,300","178,932","142,394,888"
511,烯碳新材,"7,918,366","245,130,573",0,"41,000","140,630","245,271,203"
513,丽珠集团,"19,495,454","166,099,168","6,700","10,900","440,578","166,539,746"
525,红 太 阳,"5,660,133","169,786,795",0,0,0,"169,786,795"
528,柳    工,"4,782,556","260,511,105","47,368","282,165","1,628,093","262,139,198"
537,广宇发展,"4,449,754","228,635,289","18,000",200,"1,026","228,636,315"
