证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股),融券余量(股),融券余额(元),融资融券余额(元)
1,平安银行,"100,965,431","2,329,405,501","2,522,834","957,859","9,597,745","2,339,003,246"
2,万  科Ａ,"91,064,875","2,111,253,686","3,788,924","3,752,020","32,942,735","2,144,196,421"
6,深振业Ａ,"15,410,690","535,254,776","35,700","71,300","399,280","535,654,056"
9,中国宝安,"80,385,069","2,411,119,914","990,733","606,408","7,743,827","2,418,863,741"
12,南  玻Ａ,"17,913,546","751,759,843","190,700","607,481","4,531,808","756,291,651"
24,招商地产,"78,828,364","933,776,799","837,744","606,061","7,278,795","941,055,594"
27,深圳能源,"8,476,253","388,394,516","82,400","366,500","2,466,545","390,861,061"
28,国药一致,"5,378,377","154,891,429","10,300","38,400","1,903,104","156,794,533"
31,中粮地产,"15,559,766","542,776,780","81,700","258,400","1,286,832","544,063,612"
39,中集集团,"33,320,523","840,933,529","869,854","754,436","11,482,516","852,416,045"
43,中航地产,"32,031,527","600,619,634","24,700","112,800","947,520","601,567,154"
46,泛海控股,"7,664,316","378,966,065","109,211","623,877","3,337,742","382,303,807"
49,德赛电池,"22,920,810","399,891,911","2,200","16,350","582,878","400,474,789"
50,深天马Ａ,"77,732,319","1,353,564,610","34,600","50,700","1,187,901","1,354,752,511"
60,中金岭南,"9,271,840","455,128,106","211,400","980,554","7,216,877","462,344,983"
61,农 产 品,"28,634,606","1,023,302,781","86,500","768,148","8,895,153","1,032,197,934"
62,深圳华强,"13,764,432","443,175,428","2,600","16,500","257,400","443,432,828"
63,中兴通讯,"102,170,013","2,515,734,805","793,175","1,458,790","21,502,565","2,537,237,370"
69,华侨城Ａ,"43,335,733","1,146,660,192","572,398","1,262,282","6,500,752","1,153,160,944"
78,海王生物,"41,480,829","531,982,783","50,000","31,800","321,498","532,304,281"
88,盐 田 港,"177,690,929","723,563,957","1,067,800","24,800","164,176","723,728,133"
89,深圳机场,"4,866,429","138,917,057","17,700","88,600","388,068","139,305,125"
99,中信海直,"173,752,469","673,124,445",0,"26,400","365,904","673,490,349"
100,TCL 集团,"87,750,539","2,212,019,342","4,836,313","3,182,745","9,484,580","2,221,503,922"
151,中成股份,"12,001,168","184,450,593",0,0,0,"184,450,593"
156,华数传媒,"6,848,385","276,832,356","17,800","31,286","896,031","277,728,387"
157,中联重科,"32,838,183","965,654,297","193,700","2,423,756","11,173,514","976,827,811"
333,美的集团,"47,153,355","442,580,124","77,800","55,713","1,089,746","443,669,870"
338,潍柴动力,"47,545,808","1,241,865,633","149,551","461,548","8,829,413","1,250,695,046"
400,许继电气,"20,709,777","1,144,050,435","302,800","302,724","6,202,817","1,150,253,252"
401,冀东水泥,"10,807,463","349,348,463","65,900","294,400","2,481,792","351,830,255"
402,金 融 街,"30,551,071","680,255,923","537,126","1,432,876","8,668,900","688,924,823"
410,沈阳机床,"17,942,198","311,323,637","19,000","18,000","139,140","311,462,777"
413,东旭光电,"25,143,681","601,933,544","16,200","15,900","116,547","602,050,091"
415,渤海租赁,0,"192,092,458",0,0,0,"192,092,458"
417,合肥百货,"20,148,638","438,002,192","8,800","178,456","1,147,472","439,149,664"
422,湖北宜化,"25,494,387","505,615,082","130,800","323,380","1,872,369","507,487,451"
423,东阿阿胶,"27,577,951","1,217,940,697","293,157","279,797","9,459,936","1,227,400,633"
425,徐工机械,"11,103,527","485,337,008","370,568","1,370,568","11,197,541","496,534,549"
426,兴业矿业,"10,091,200","356,404,825",0,"66,600","680,652","357,085,477"
