证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股),融券余量(股),融券余额(元),融资融券余额(元)
1,平安银行,"77,094,014","3,148,364,125","1,900","236,808","2,169,161","3,150,533,286"
2,万  科Ａ,"107,305,208","2,164,378,845","48,900","571,300","12,037,291","2,176,416,136"
6,深振业Ａ,"22,490,462","1,312,841,210",0,"130,000","1,110,200","1,313,951,410"
9,中国宝安,"45,719,043","2,641,599,926","36,700","179,475","1,703,217","2,643,303,143"
12,南  玻Ａ,"29,099,310","1,170,607,832","26,000","89,187","1,000,678","1,171,608,510"
22,深赤湾Ａ,"55,280,210","211,456,046","25,000","25,000","521,750","211,977,796"
27,深圳能源,"6,238,605","545,831,030","22,400","34,550","240,814","546,071,844"
28,国药一致,"16,568,425","124,079,633","2,900","6,900","522,744","124,602,377"
30,富奥股份,"11,012,258","100,012,805",0,"27,400","234,818","100,247,623"
31,中粮地产,"13,405,559","901,631,473","9,500","20,003","165,225","901,796,698"
39,中集集团,"17,683,938","869,557,320","4,700","144,100","2,276,780","871,834,100"
43,中航地产,"32,695,245","652,579,143","22,700","23,100","289,905","652,869,048"
46,泛海控股,"8,000,618","637,681,686",700,"176,300","1,639,590","639,321,276"
49,德赛电池,"126,601,196","446,293,244","89,500","97,038","5,039,183","451,332,427"
50,深天马Ａ,0,"844,998,967",0,0,0,"844,998,967"
60,中金岭南,"31,096,314","1,753,999,714","3,000","90,300","1,024,002","1,755,023,716"
61,农 产 品,"7,704,016","960,197,497","28,100","108,900","1,227,303","961,424,800"
62,深圳华强,"11,097,241","750,568,996","19,900","23,600","628,940","751,197,936"
63,中兴通讯,"404,539,036","3,501,600,504","131,600","524,272","9,069,905","3,510,670,409"
69,华侨城Ａ,"33,439,943","1,175,896,878","6,900","425,200","3,154,984","1,179,051,862"
78,海王生物,"8,084,432","862,492,186",0,0,0,"862,492,186"
88,盐 田 港,"29,708,281","315,315,146","68,525","113,825","874,176","316,189,322"
89,深圳机场,"8,921,928","318,768,466","21,400","74,100","654,303","319,422,769"
90,天健集团,"9,433,176","34,990,934",0,0,0,"34,990,934"
99,中信海直,"11,165,883","610,062,346",0,0,0,"610,062,346"
100,TCL 集团,"41,434,901","1,762,768,315","29,000","146,400","516,792","1,763,285,107"
151,中成股份,"57,248,342","686,709,433",0,0,0,"686,709,433"
156,华数传媒,"15,092,123","880,489,284",0,"6,297","108,749","880,598,033"
157,中联重科,"41,188,472","1,020,959,179","725,000","830,900","4,013,247","1,024,972,426"
166,申万宏源,"24,655,598","416,141,118","2,100","18,600","115,506","416,256,624"
