日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,换手率(%)
1997-06-27,27.28,33.90,37.88,25.50,311410,8.98亿,-,82.38
1997-07-02,32.80,35.60,36.21,31.50,119130,4.10亿,13.89%,31.52
1997-07-03,35.30,32.36,35.45,32.20,67597,2.26亿,9.13%,17.88
1997-07-04,31.80,30.30,32.82,30.15,47856,1.51亿,8.25%,12.66
1997-07-07,30.10,27.27,30.29,27.27,48472,1.39亿,9.97%,12.82
1997-07-08,26.80,29.40,29.74,26.31,44367,1.24亿,12.58%,11.74
1997-07-09,29.10,28.71,29.60,28.30,25411,7358万,4.42%,6.72
1997-07-10,29.00,28.50,30.22,28.38,21723,6371万,6.41%,5.75
1997-07-11,28.65,29.70,29.90,28.18,25955,7618万,6.04%,6.87
1997-07-14,30.28,29.70,30.46,29.20,23211,6893万,4.24%,6.14
1997-07-15,29.68,28.92,29.68,28.65,19811,5733万,3.47%,5.24
1997-07-16,28.92,29.39,29.65,28.50,18983,5538万,3.98%,5.02
1997-07-17,29.51,29.64,30.88,29.30,26501,8002万,5.38%,7.01
1997-07-18,29.82,29.39,30.20,29.11,12503,3682万,3.68%,3.31
1997-07-21,29.68,28.39,29.88,28.20,16816,4834万,5.72%,4.45
1997-07-22,28.08,28.75,28.98,27.75,13895,3930万,4.33%,3.68
1997-07-23,28.80,28.20,28.88,27.90,10831,3069万,3.41%,2.87
1997-07-24,28.15,27.90,28.50,27.80,7072,1978万,2.48%,1.87
1997-07-25,27.80,27.33,27.80,27.05,11499,3142万,2.69%,3.04
1997-07-28,27.00,25.80,27.10,25.50,11690,3078万,5.85%,3.09
1997-07-29,25.50,26.00,26.38,25.18,6634,1717万,4.65%,1.76
1997-07-30,25.80,26.25,26.31,25.80,6810,1776万,1.96%,1.8
1997-07-31,26.31,26.52,27.10,26.31,5934,1588万,3.01%,1.57
1997-08-01,26.50,26.25,26.70,25.95,4509,1181万,2.83%,1.19
1997-08-04,26.35,26.00,26.40,25.88,5435,1414万,1.98%,1.44
1997-08-05,25.80,26.01,26.70,25.65,4370,1147万,4.04%,1.16
1997-08-06,26.02,25.71,26.39,25.66,4643,1208万,2.81%,1.23
1997-08-07,25.75,25.90,26.20,25.56,4713,1217万,2.49%,1.25
1997-08-08,26.07,25.95,26.40,25.80,6473,1693万,2.32%,1.71
1997-08-11,25.80,23.36,26.00,23.36,19329,4599万,10.17%,5.11
1997-08-12,22.48,21.04,22.98,21.04,14437,3191万,8.30%,3.82
1997-08-13,20.68,20.82,21.80,20.51,8282,1761万,6.13%,2.19
1997-08-14,21.00,22.90,22.90,20.80,9055,1965万,10.09%,2.4
1997-08-15,23.20,22.30,23.48,21.80,12032,2755万,7.34%,3.18
1997-08-18,22.00,21.95,22.49,21.30,4874,1061万,5.34%,1.29
1997-08-19,21.90,22.20,22.61,21.88,3822,853万,3.33%,1.01
1997-08-20,22.20,22.35,22.58,22.00,3953,883万,2.61%,1.05
