日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,换手率(%)
2017-09-01,13.51,16.21,16.21,13.51,200,32.0万,-,0.02
2017-09-04,17.83,17.83,17.83,17.83,100,17.8万,0.00%,0.01
2017-09-05,19.61,19.61,19.61,19.61,210,41.1万,0.00%,0.02
2017-09-06,21.57,21.57,21.57,21.57,198,42.6万,0.00%,0.02
2017-09-07,23.73,23.73,23.73,23.73,215,51.0万,0.00%,0.02
2017-09-08,26.10,26.10,26.10,26.10,358,93.4万,0.00%,0.04
2017-09-11,28.71,28.71,28.71,28.71,397,114万,0.00%,0.04
2017-09-12,31.58,31.58,31.58,31.58,1221,386万,0.00%,0.13
2017-09-13,34.74,34.74,34.74,34.74,1434,498万,0.00%,0.16
2017-09-14,38.21,38.21,38.21,38.21,1631,623万,0.00%,0.18
2017-09-15,42.03,42.03,42.03,42.03,3998,1680万,0.00%,0.43
2017-09-18,46.23,46.23,46.23,46.23,3960,1831万,0.00%,0.43
2017-09-19,50.85,50.85,50.85,50.85,12050,6127万,0.00%,1.31
2017-09-20,55.94,55.94,55.94,55.94,10457,5850万,0.00%,1.14
2017-09-21,61.53,61.53,61.53,61.53,4628,2848万,0.00%,0.5
2017-09-22,67.68,67.68,67.68,67.68,16116,1.09亿,0.00%,1.75
2017-09-25,74.45,74.45,74.45,74.45,31582,2.35亿,0.00%,3.43
2017-09-26,77.98,69.98,78.00,69.09,606367,45.0亿,11.97%,65.91
2017-09-27,69.95,71.90,73.26,68.02,318764,22.8亿,7.49%,34.65
2017-09-28,71.00,79.09,79.09,70.50,402017,31.0亿,11.95%,43.7
2017-09-29,78.73,71.59,80.00,71.18,368767,27.7亿,11.15%,40.08
2017-10-09,73.09,73.70,76.50,71.08,255268,19.0亿,7.57%,27.75
2017-10-10,72.01,73.03,75.95,71.01,201262,14.8亿,6.70%,21.88
2017-10-11,74.65,72.65,79.60,71.99,289459,21.9亿,10.42%,31.46
2017-10-12,71.00,67.20,71.00,67.01,227359,15.6亿,5.49%,24.71
2017-10-13,68.50,68.65,70.01,68.08,131470,9.07亿,2.87%,14.29
2017-10-16,69.00,71.83,73.54,67.30,197254,14.1亿,9.09%,21.44
2017-10-17,71.50,73.22,74.74,70.70,179418,13.1亿,5.62%,19.5
2017-10-18,72.94,72.66,74.47,71.51,137819,10.1亿,4.04%,14.98
2017-10-19,73.31,77.88,79.89,73.00,246461,18.9亿,9.48%,26.79
2017-10-20,76.88,79.50,80.80,76.50,200514,15.8亿,5.52%,21.79
2017-10-23,80.75,78.05,81.50,76.88,150124,11.8亿,5.81%,16.32
2017-10-24,77.57,74.66,78.26,72.58,182002,13.6亿,7.28%,19.78
2017-10-25,74.00,75.40,75.86,73.25,109552,8.20亿,3.50%,11.91
2017-10-26,74.93,76.35,76.60,72.59,127404,9.52亿,5.32%,13.85
2017-10-27,75.83,74.90,77.39,74.68,89985,6.82亿,3.55%,9.78
2017-10-30,73.00,70.74,73.50,70.60,125075,9.01亿,3.87%,13.6
2017-10-31,70.57,77.00,77.80,70.57,177513,13.2亿,10.22%,19.29
