日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,换手率(%)
2009-12-30,38.80,40.59,41.69,38.08,159468,6.29亿,-,76.67
2009-12-31,39.51,39.66,40.86,38.68,95304,3.78亿,5.37%,45.82
2010-01-04,39.01,40.00,40.78,38.60,58531,2.33亿,5.50%,28.14
2010-01-05,39.82,40.25,40.69,39.20,51841,2.08亿,3.72%,24.92
2010-01-06,40.30,43.99,44.28,39.80,113694,4.91亿,11.13%,54.66
2010-01-07,43.60,44.40,44.97,42.53,79091,3.47亿,5.55%,38.02
2010-01-08,43.35,42.08,43.90,41.76,45964,1.95亿,4.82%,22.1
2010-01-11,42.18,41.31,42.49,40.51,38593,1.60亿,4.71%,18.55
2010-01-12,41.31,42.75,44.25,41.01,45109,1.94亿,7.84%,21.69
2010-01-13,42.00,42.29,42.83,41.31,28487,1.20亿,3.56%,13.7
2010-01-14,42.60,42.42,43.30,42.00,28876,1.23亿,3.07%,13.88
2010-01-15,42.42,43.20,43.88,41.90,32434,1.39亿,4.67%,15.59
2010-01-18,43.05,42.30,43.90,42.25,20384,8740万,3.82%,9.8
2010-01-19,42.24,41.21,42.46,41.07,24692,1.02亿,3.29%,11.87
2010-01-20,41.33,38.01,41.55,37.85,32752,1.29亿,8.98%,15.75
2010-01-21,38.05,37.97,38.60,37.40,14371,5469万,3.16%,6.91
2010-01-22,37.60,36.24,37.66,35.30,17488,6369万,6.22%,8.41
2010-01-25,35.80,35.98,36.70,35.53,10382,3759万,3.23%,4.99
2010-01-26,35.94,34.99,36.17,34.72,10372,3684万,4.03%,4.99
2010-01-27,35.02,35.48,35.99,34.81,10585,3760万,3.37%,5.09
2010-01-28,35.30,35.14,35.68,34.80,7056,2491万,2.48%,3.39
2010-01-29,35.08,35.32,35.88,34.80,7917,2793万,3.07%,3.81
2010-02-01,35.11,34.28,35.20,34.00,10122,3464万,3.40%,4.87
2010-02-02,34.29,33.09,34.84,32.88,7794,2649万,5.72%,3.75
2010-02-03,32.89,32.00,33.11,30.10,20726,6517万,9.10%,9.96
2010-02-04,32.00,32.40,32.66,31.51,9161,2953万,3.59%,4.4
2010-02-05,31.50,31.80,32.50,31.20,6132,1957万,4.01%,2.95
2010-02-09,32.70,33.05,34.77,32.50,15910,5336万,7.14%,7.65
2010-02-10,32.98,34.44,34.50,32.82,11829,3998万,5.08%,5.69
2010-02-11,34.08,34.38,34.78,33.80,7521,2581万,2.85%,3.62
2010-02-12,34.35,35.93,36.40,34.35,11812,4214万,5.96%,5.68
2010-02-22,35.85,34.80,35.85,34.68,6337,2226万,3.26%,3.05
