日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,换手率(%)
2010-01-22,30.00,29.34,30.70,28.80,102597,3.01亿,-,67.5
2010-01-25,28.82,26.67,28.82,26.58,43754,1.20亿,7.63%,28.79
2010-01-26,26.50,26.22,27.40,25.99,26721,7154万,5.29%,17.58
2010-01-27,26.40,26.90,26.94,26.05,19384,5155万,3.39%,12.75
2010-01-28,26.59,25.25,26.79,25.02,23463,5982万,6.58%,15.44
2010-01-29,24.98,25.46,26.20,24.78,18552,4760万,5.62%,12.2
2010-02-01,25.00,24.25,25.00,24.06,15253,3715万,3.69%,10.04
2010-02-02,24.45,24.14,24.70,24.14,9320,2278万,2.31%,6.13
2010-02-03,24.13,24.38,24.49,23.11,12944,3084万,5.72%,8.52
2010-02-04,24.24,24.68,24.99,23.63,11756,2867万,5.58%,7.73
2010-02-05,24.05,24.92,25.10,24.00,13709,3375万,4.46%,9.02
2010-02-08,24.92,24.72,24.97,24.37,6709,1657万,2.41%,4.41
2010-02-09,24.60,24.43,24.78,24.20,5816,1422万,2.35%,3.83
2010-02-10,24.56,24.75,24.89,24.31,6660,1636万,2.37%,4.38
2010-02-11,24.65,24.90,25.08,24.51,7695,1917万,2.30%,5.06
2010-02-12,24.91,25.26,25.28,24.81,7018,1757万,1.89%,4.62
2010-02-22,25.23,25.36,25.70,24.77,11429,2891万,3.68%,7.52
2010-02-23,25.58,25.22,25.58,24.80,6553,1643万,3.08%,4.31
2010-02-24,25.15,25.96,26.07,24.97,12014,3087万,4.36%,7.9
2010-02-25,25.99,26.32,26.90,25.75,17586,4640万,4.43%,11.57
2010-02-26,26.30,26.45,26.75,26.20,12357,3272万,2.09%,8.13
2010-03-01,26.50,27.65,27.79,26.50,18288,5004万,4.88%,12.03
2010-03-02,27.67,27.58,28.58,27.26,23654,6595万,4.77%,15.56
2010-03-03,27.58,27.72,28.29,27.10,14388,3984万,4.31%,9.47
2010-03-04,27.72,27.06,27.72,26.68,15456,4183万,3.75%,10.17
2010-03-05,27.00,27.09,27.29,26.70,8771,2371万,2.18%,5.77
2010-03-08,27.23,27.41,27.65,26.90,8411,2299万,2.77%,5.53
2010-03-09,27.52,27.34,27.60,27.05,6124,1674万,2.01%,4.03
2010-03-10,27.36,26.78,27.42,26.70,6630,1790万,2.63%,4.36
2010-03-11,26.78,27.11,27.11,26.19,7284,1949万,3.44%,4.79
2010-03-12,27.00,27.25,27.80,26.89,10342,2842万,3.36%,6.8
2010-03-16,27.00,27.10,27.18,26.62,4447,1198万,2.06%,2.93
2010-03-17,27.08,27.68,27.78,26.96,6957,1915万,3.03%,4.58
2010-03-18,27.76,27.75,28.09,27.43,9453,2626万,2.38%,6.22
2010-03-19,27.98,27.60,27.98,27.50,6413,1774万,1.73%,4.22
2010-03-22,27.59,27.56,27.99,27.52,4602,1273万,1.70%,3.03
2010-03-23,27.55,27.09,27.67,26.90,5624,1531万,2.79%,3.7
2010-03-24,27.26,28.00,28.00,27.05,11213,3100万,3.51%,7.38
2010-03-25,27.99,29.16,29.50,27.72,25709,7444万,6.36%,16.91
2010-03-26,28.80,29.14,29.16,28.13,10795,3098万,3.53%,7.1
2010-03-29,29.44,29.02,29.44,28.60,7531,2178万,2.88%,4.95
2010-03-30,29.06,29.75,29.99,28.90,14104,4157万,3.76%,9.28
2010-03-31,29.70,29.85,30.65,29.52,13652,4121万,3.80%,8.98
2010-04-01,29.85,30.66,31.08,29.70,13137,4024万,4.62%,8.64
2010-04-02,30.60,30.32,31.00,30.10,7926,2405万,2.94%,5.21
2010-04-06,30.32,30.54,30.66,30.16,5668,1722万,1.65%,3.73
2010-04-07,30.54,30.72,30.93,30.29,7318,2242万,2.10%,4.81
2010-04-08,30.72,30.50,30.75,30.03,8751,2659万,2.34%,5.76
2010-04-09,30.50,30.60,30.75,30.23,8002,2439万,1.70%,5.26
2010-04-12,30.60,31.50,31.82,30.60,15544,4877万,3.99%,10.23
2010-04-13,31.52,30.00,31.85,28.58,16171,4888万,10.38%,10.64
2010-04-14,30.00,29.85,30.38,29.02,10700,3145万,4.53%,7.04
2010-04-15,29.98,28.39,29.98,28.38,9377,2716万,5.36%,6.17
2010-04-16,28.30,28.73,29.12,28.00,6088,1737万,3.95%,4.01
2010-04-19,28.59,28.10,28.69,28.00,5515,1561万,2.40%,3.63
2010-04-20,28.20,28.25,28.46,27.21,6150,1710万,4.45%,4.05
2010-04-21,28.32,29.68,29.99,28.32,13564,3961万,5.91%,8.92
2010-04-22,29.00,28.92,29.48,28.11,25936,7484万,4.62%,13.65
2010-04-23,29.23,31.81,31.81,29.23,47355,1.47亿,8.92%,24.92
2010-04-26,32.00,34.99,34.99,31.51,78310,2.65亿,10.94%,41.22
2010-04-27,33.97,34.07,34.23,31.53,37103,1.22亿,7.72%,19.53
2010-04-28,33.00,33.52,34.90,32.90,30720,1.04亿,5.87%,16.17
2010-04-29,33.30,32.97,33.93,32.49,23152,7617万,4.30%,12.19
2010-04-30,32.28,31.28,32.94,30.38,18324,5809万,7.76%,9.64
2010-05-04,30.02,31.39,31.39,29.99,10883,3348万,4.48%,5.73
2010-05-05,30.99,32.30,32.30,30.70,15440,4936万,5.10%,8.13
2010-05-06,32.30,31.65,32.99,31.32,12352,3986万,5.17%,6.5
2010-05-07,30.70,30.51,31.80,30.02,10300,3176万,5.62%,5.42
2010-05-10,30.75,28.88,30.75,28.35,9315,2736万,7.87%,4.9
2010-05-12,27.98,26.59,27.98,26.31,17433,4697万,5.78%,9.18
2010-05-13,26.55,27.45,27.89,26.03,11040,2989万,7.00%,5.81
2010-05-14,27.00,27.45,27.69,27.00,8725,2386万,2.51%,4.59
2010-05-17,27.19,26.15,27.40,25.80,7886,2095万,5.83%,4.15
2010-05-18,26.15,26.48,26.68,25.44,7964,2075万,4.74%,4.19
2010-05-19,26.23,26.70,27.89,26.05,8766,2357万,6.95%,4.61
2010-05-20,26.59,26.68,27.35,26.31,5511,1476万,3.90%,2.9
2010-05-21,25.98,27.61,27.85,25.70,12197,3328万,8.06%,6.42
2010-05-24,27.68,28.65,28.79,27.64,15891,4491万,4.17%,8.36
2010-05-25,28.56,29.00,29.19,27.82,13634,3890万,4.78%,7.18
