标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
510010,治理ETF,4596276,1836,23775,118188,0,0
510050,50ETF,8541748281,29674949,31847863,62482418,3580600,2628500
510180,180ETF,1457980650,407023,394958,2622680,48000,149100
510230,金融ETF,12218259,28590,47806,0,0,0
510300,300ETF,22637600992,37241828,26011529,285046223,31176126,40514316
510310,HS300ETF,4722512,197352,362061,0,0,0
510330,华夏300,5432454,72930,25761,36200,0,0
510500,500ETF,112443569,8186623,9330534,12888280,321800,0
510510,广发500,10336533,1039700,315253,892100,704900,48400
510880,红利ETF,5611381,118541,75018,52900,0,100
510900,H股ETF,578447260,38649611,24909614,798200,0,0
511010,国债ETF,16291892,999821,463812,0,0,0
512070,非银ETF,9850681,112491,57213,0,0,0
512500,中证500,2365202,130310,70545,0,0,0
512990,MSCIA股,6251715,625404,733583,0,0,0
518880,黄金ETF,203133094,19468558,17242676,0,0,0
600000,浦发银行,2380996236,60038585,20031368,741910,20800,31700
600005,武钢股份,632407244,26421947,18899274,64400,0,0
600006,东风汽车,541617789,196779080,168465351,20000,0,170000
600007,中国国贸,170752048,10154284,9811246,0,0,0
600008,首创股份,588183221,15735772,17537055,34000,0,0
600009,上海机场,472128882,18928251,21873038,91900,10700,0
600010,包钢股份,1239599910,32067263,33021070,1412750,779900,0
600011,华能国际,421564385,3463083,2640146,15600,0,3500
600015,华夏银行,1319798425,32360096,41314514,115358,3900,9300
600016,民生银行,6392221111,81230101,31670724,8098240,7145500,6033900
600017,日照港,620453262,18071098,13821952,0,0,0
600018,上港集团,561790231,6060462,7978538,136800,0,0
600019,宝钢股份,1018644940,23872033,11117200,173700,6000,0
600021,上海电力,431714405,6927585,16338528,11500,1500,0
600022,山东钢铁,245649116,7226930,4365468,11500,0,0
600023,浙能电力,807059073,29068823,21366668,137400,78000,30900
600026,中海发展,528355665,15174397,16691242,41600,41600,0
600027,华电国际,535285890,6613812,6341518,202000,101300,100100
600028,中国石化,2607549858,58796009,33810817,233600,0,17000
600029,南方航空,1162755142,52220803,66675524,866021,176600,62503
600030,中信证券,9868343495,311846197,321468114,3929076,1518376,45802
600031,三一重工,1080775520,17967777,12304127,109500,7100,44000
600036,招商银行,2009594111,19530155,19859383,1147590,261600,155925
600037,歌华有线,1051798192,63188777,57959953,1600,0,0
600038,中直股份,1022512478,26251795,33645716,65400,1000,7200
600039,四川路桥,427810246,11517363,9253233,0,0,0
600048,保利地产,2050606819,40313442,43621636,344360,10000,159700
600050,中国联通,1931961791,26367954,35571858,350800,0,10000
600056,中国医药,550944716,22812833,30319240,0,0,0
600058,五矿发展,915474620,261522523,200205850,35201,12300,500
600059,古越龙山,461008365,27762362,30803826,800,0,0
600060,海信电器,641600058,38023186,44062944,147500,6500,60000
600062,华润双鹤,458157329,22256504,19703707,18100,0,0
600063,皖维高新,599706830,13860324,11145150,1000,0,0
600066,宇通客车,472079042,25502972,27799484,56443,4700,100
600067,冠城大通,819752530,57973086,65828693,0,0,0
600068,葛洲坝,926082450,26129769,17646211,1300,1100,5400
600073,上海梅林,721401372,54448285,41509221,0,0,0
600077,宋都股份,527786931,19630863,15519877,200,0,0
600078,澄星股份,352976851,12476879,9060860,800,0,0
600079,人福医药,622885902,15309969,22753964,2700,1000,0
600085,同仁堂,814046773,20854353,18084551,90650,2700,7600
600086,东方金钰,476000648,53136060,44619340,4500,0,0
600088,中视传媒,471406003,15672432,17031372,20200,0,0
600089,特变电工,1454047499,30775249,34898208,14100,0,0
600094,大名城,932011503,35613083,30195396,400,0,0
600096,云天化,483241761,76502299,32229960,7000,900,800
600098,广州发展,527163293,13996767,12495714,0,0,0
600100,同方股份,3262936669,245276898,250021859,337100,101300,0
