标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
510010,治理ETF,12557565,12915,17550,413953,0,0
510050,50ETF,10976059711,59223785,52449532,37062088,490900,751200
510180,180ETF,2261260373,2445856,3875394,7696364,0,8000
510230,金融ETF,35651418,49512,130551,0,0,0
510300,300ETF,33909456391,63592236,241522660,237265397,11024200,2425956
510310,HS300ETF,5936549,20062,567,0,0,0
510330,华夏300,15846224,78494,602733,116600,0,0
510500,500ETF,185736236,18593837,26332898,656940,0,0
510510,广发500,20025910,754430,1204769,4880300,0,0
510880,红利ETF,13296233,374185,869671,265200,0,0
510900,H股ETF,176449955,12050991,4736402,0,0,0
511010,国债ETF,0,0,21748,0,0,0
512070,非银ETF,14521462,50027,720547,0,0,0
512500,中证500,4075854,150423,44192,0,0,0
512990,MSCIA股,8102508,21602,647642,0,0,0
600000,浦发银行,4418931968,199617357,174363038,1083500,60600,199600
600005,武钢股份,1145262806,72017018,83497685,191900,2000,0
600006,东风汽车,872334220,134292687,122446561,6400,0,0
600007,中国国贸,274584218,14894861,11351563,1600,0,0
600008,首创股份,898854995,138969731,134569522,1600,0,35200
600009,上海机场,752616767,35824536,61288361,231783,700,3300
600010,包钢股份,2148568172,93876667,123013675,1856379,600000,0
600011,华能国际,733717738,15853361,37098070,238636,0,0
600015,华夏银行,1418379115,49658095,37006644,519658,14100,6500
600016,民生银行,3692192020,117477066,80849736,2197288,675900,367100
600017,日照港,1289325608,128854857,146779792,2376017,0,0
600018,上港集团,1038657625,49937272,72461049,609377,0,0
600019,宝钢股份,1572137463,54350645,35432747,795356,26300,0
600021,上海电力,937545870,94839529,79588569,17300,0,0
600022,山东钢铁,505539734,59679500,54371789,39000,0,0
600023,浙能电力,1477064474,74763284,70757739,170700,0,209300
600026,中海发展,541745000,0,1149718,482,0,0
600027,华电国际,1012720769,80737843,44257472,377487,0,0
600028,中国石化,4631593836,188590654,194659348,322300,160000,300000
600029,南方航空,2369192311,282051633,287045897,1108321,20000,18900
600030,中信证券,13413473970,770993693,675701749,1401195,545900,16400
600031,三一重工,2029741809,123351770,141364212,571444,9000,260000
600036,招商银行,3921672151,140768281,95684675,2904908,793434,139435
600037,歌华有线,1098174094,96563156,114322533,9000,0,0
600038,中直股份,1441328585,127633952,145098603,95400,15200,0
600039,四川路桥,836084488,95149657,86942051,2900,0,0
600048,保利地产,3229443935,204674704,135753883,638371,1100,6400
600050,中国联通,3424570461,206253782,230788853,1205337,0,383900
600056,中国医药,827882505,76961056,94953767,1676,0,0
600058,五矿发展,632712621,0,17763065,44501,0,0
600059,古越龙山,548314830,72917535,45763424,900,0,0
600060,海信电器,1028909852,175392563,167522728,68449,0,11100
600062,华润双鹤,473108400,120336669,90994745,25000,0,0
600063,皖维高新,798538931,54656955,71425876,1700,0,0
600066,宇通客车,528753065,69901854,75608037,106613,600,0
600067,冠城大通,1254308584,115641719,96149346,800,0,0
600068,葛洲坝,1755807423,77689527,86835212,172630,20300,26800
600073,上海梅林,802156278,60048413,77475109,1200,0,0
600077,宋都股份,500353641,39001138,31027552,700,0,0
600078,澄星股份,527034195,0,5886717,11400,0,0
600079,人福医药,805762213,74726805,104078415,164484,0,0
600085,同仁堂,911887061,41068278,53952657,126741,0,2000
600086,东方金钰,778729117,91034305,88012483,14100,0,0
600088,中视传媒,305201819,41323176,54423284,200,0,0
600089,特变电工,2324391800,162406926,160106022,398300,4200,0
600094,大名城,1291878719,184516239,161645025,400,0,0
600096,云天化,476726111,53889341,75359974,62700,600,800
