标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
510010,治理ETF,3461237,7145,42734,0,0,0
510050,50ETF,7203611149,103990466,19248762,15450986,4387500,2882800
510180,180ETF,602226130,15568126,976419,1681286,10100,10000
510230,金融ETF,10330883,51640,0,0,0,0
510300,300ETF,20329533097,181090463,91508260,109259037,29653100,17044909
510310,HS300ETF,2943603,110880,130480,0,0,0
510330,华夏300,4074314,0,470,2000,0,34200
510500,500ETF,112873527,3375447,10526644,86634119,1400,445800
510510,广发500,8674041,26837,23921,9997600,5000,0
510880,红利ETF,6374446,29388,91363,52700,0,300
510900,H股ETF,881057978,69691575,30074583,0,0,0
511010,国债ETF,24387322,10219949,5921149,0,0,0
512070,非银ETF,9116255,169,22408,0,0,0
512500,中证500,2233408,0,189393,0,0,0
512990,MSCIA股,2462636,50573,14016,0,0,0
518880,黄金ETF,688964901,58658813,60904777,0,0,0
600000,浦发银行,2372801777,26752239,22472652,3706914,230196,189920
600005,武钢股份,657948940,78773592,79002831,440800,8500,87000
600006,东风汽车,526951002,24702277,43542134,50000,50000,139967
600007,中国国贸,390494899,3428779,4431796,0,0,0
600008,首创股份,833949886,18218608,21784656,107500,5000,171400
600009,上海机场,419423431,11017784,3560447,64974,13800,5300
600010,包钢股份,1222138043,61908654,56571734,2490400,834300,1050258
600011,华能国际,367056156,27011349,8114512,116800,0,0
600015,华夏银行,2296479981,29792926,64949038,806358,13200,90865
600016,民生银行,5748127965,9161844,16246831,11202379,138400,1959840
600017,日照港,509057722,27274552,16249069,500,0,0
600018,上港集团,586802486,16184524,7986366,435200,10000,0
600019,宝钢股份,1018971592,60978961,78245406,511300,27000,50000
600021,上海电力,386163211,0,309779,74500,0,0
600022,山东钢铁,367496805,22288315,20499466,94400,80000,0
600023,浙能电力,676264586,45255971,32248961,209000,104100,0
600026,中海发展,485178427,56724231,55512467,50000,0,0
600027,华电国际,495900689,19493364,17259209,41700,0,0
