标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
510010,治理ETF,24023387,494525,376009,667336,0,3000
510050,50ETF,15842110269,124334358,170961036,100526143,482300,3311900
510180,180ETF,3645849625,37577237,23317338,11491254,500600,1166100
510230,金融ETF,89956845,3379615,1739997,0,0,0
510300,300ETF,48269426011,121506207,324186679,220426002,14473267,9857557
510310,HS300ETF,12865277,529108,1182225,400,0,55100
510330,华夏300,27605414,100852,456908,720400,0,1000
510500,500ETF,144377228,25284386,30579807,679691,0,33020
510510,广发500,41322173,1817274,11866325,4843000,0,0
510880,红利ETF,50973537,343786,718480,968991,0,10300
510900,H股ETF,125646776,6941104,14492528,0,0,0
512070,非银ETF,24173545,1263521,749620,0,0,0
512500,中证500,8193087,1392203,3862503,0,0,0
512990,MSCIA股,10920821,1187740,237492,0,0,0
600000,浦发银行,10978833800,756310191,371702081,1267388,1200,65300
600005,武钢股份,1761797787,440166819,373484047,110107,0,0
600006,东风汽车,828329490,342440741,166782117,79644,0,0
600007,中国国贸,360242657,52099989,36499232,7376,0,0
600008,首创股份,1133850783,216066172,218463079,39378,0,0
600009,上海机场,919053294,119320421,95880382,202791,900,900
600010,包钢股份,3901901396,449457203,388295178,353417,0,0
600011,华能国际,1268271733,180725681,151602886,310143,0,0
600015,华夏银行,2297232458,146648033,124414172,313562,0,30933
600016,民生银行,6836321135,304669696,255115676,1905079,25000,19400
600017,日照港,777176150,102017865,126201046,372847,0,0
600018,上港集团,1473284095,128681273,125873606,82445,0,0
600019,宝钢股份,3362556324,325195849,371609027,147297,0,10900
600021,上海电力,1378824999,251584256,300862456,18825,0,0
600022,山东钢铁,738008025,190807108,167672001,264239,0,600
600023,浙能电力,2158708926,366244703,354381136,150235,0,0
600026,中海发展,1017339878,0,23055590,482,0,0
600027,华电国际,1548923287,292733355,300233122,700828,800,8700
600028,中国石化,6854074308,614744204,477963413,244899,0,0
600029,南方航空,4044790855,1196183671,1024272748,910118,0,7300
600030,中信证券,22726590649,1681696790,2198047473,659577,16100,49600
600031,三一重工,2995268143,479610916,391827899,265692,0,0
600036,招商银行,6425118244,368102860,222243685,2204270,31000,48524
600037,歌华有线,1361746407,204623960,157215450,19485,0,0
600038,中直股份,1586624449,248095936,176404013,72792,0,0
600039,四川路桥,1137872364,113972311,111876552,13500,0,0
600048,保利地产,5008563922,472510737,427980004,354271,0,10000
600050,中国联通,5123831499,1064852441,969787960,709411,0,7700
600056,中国医药,825119861,179553050,146794768,17147,0,0
600058,五矿发展,916182080,336716006,135363895,58601,0,7600
600059,古越龙山,731549739,75631140,63441608,45431,0,0
600060,海信电器,1530800349,254139497,204935363,37700,0,0
600062,华润双鹤,744229252,95052195,86386524,29700,100,600
600063,皖维高新,1053600318,199352302,157000623,10695,0,0
600066,宇通客车,730188407,69897294,66109091,107053,0,0
600067,冠城大通,1525395575,168915600,128634923,89517,0,0
600068,葛洲坝,2343702753,251288661,252256381,122832,800,0
600073,上海梅林,770380445,96295503,85204591,1200,0,0
600077,宋都股份,611339978,71479614,47561813,3400,0,0
600078,澄星股份,707516603,102210150,64428751,13400,0,0
600079,人福医药,951181967,121915644,132799764,32182,0,1000
600085,同仁堂,908114990,97221860,87805893,164105,0,0
600086,东方金钰,1061153782,275967373,191079003,17401,0,0
600088,中视传媒,337213476,60933699,84194930,5746,0,0
600089,特变电工,3586896973,330650095,275219763,93286,0,0
600094,大名城,1483947342,259041864,237947871,16548,0,0
600096,云天化,503659342,75540997,77230684,113455,0,2000
