标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
510010,治理ETF,39118444,282009,907692,1078537,186500,239931
510050,50ETF,11310324894,212190449,175956098,23817379,132807083,135089740
510180,180ETF,2027094689,18486212,20955483,7481343,11249400,9734560
510300,300ETF,10666075442,165519847,109291884,73827855,104957486,123976505
510330,华夏300,309315902,1348882,252730,2113287,534900,340000
510500,500ETF,20512710,238352,482877,740100,15000,163200
510880,红利ETF,188266690,1416396,1247839,399551,929800,970999
600000,浦发银行,7211653052,114436978,131727835,4357791,6063415,5964653
600005,武钢股份,241465189,3999872,3916246,723271,1000,60200
600008,首创股份,281978301,10225929,6299049,207801,38100,244900
600009,上海机场,388042765,13442682,14640880,396914,164648,186800
600010,包钢股份,854509267,49347710,65811436,774785,360800,543551
600011,华能国际,319478175,16285185,17100878,262719,517500,476400
600015,华夏银行,1066907295,21698844,49399554,2826041,1335990,1494490
600016,民生银行,5473289398,63838434,119003145,9273522,8110681,9890599
600018,上港集团,447978514,11547715,17119339,1050700,89200,100800
600019,宝钢股份,437946203,14202524,7362571,451061,383800,360644
600022,山东钢铁,85394651,1717450,4090533,70140,171100,171100
600027,华电国际,377972465,14000971,14778027,159408,619900,584000
600028,中国石化,776971653,116461542,57735465,3841832,4301941,3855841
600029,南方航空,475948941,7723131,3292581,626300,523800,70146
600030,中信证券,5531103858,226216554,193900577,2257875,12842710,12516799
600031,三一重工,513409512,7992203,10889030,2058020,2061318,2213518
600036,招商银行,3952591857,84390376,70562715,4629211,4127631,3267043
600037,歌华有线,428010707,14694421,22147663,36500,110600,105120
600038,哈飞股份,369121855,18209634,14752514,12890,4100,9900
600039,四川路桥,233023672,3339072,4393437,15600,15400,25700
600048,保利地产,2119636140,52704944,59504446,2666838,1420254,1817757
600050,中国联通,1567207110,35111049,46743437,1145920,973800,777111
600056,中国医药,357824890,31166822,31740642,13500,500,500
600058,五矿发展,178147006,4643882,3419319,163406,167900,112300
600059,古越龙山,276908565,7825205,9484875,132115,18300,17800
600060,海信电器,652300179,20501825,27822772,254850,250502,201002
600062,华润双鹤,290580346,18542489,28884047,103507,114241,121182
600063,皖维高新,125128902,0,327434,28200,0,0
600066,宇通客车,287210127,20414433,22139411,822782,847009,790549
600067,冠城大通,397721356,17658445,15075847,317800,62980,48780
600068,葛洲坝,326483314,5268454,6183206,129066,115600,139897
600072,中船股份,109596867,3397978,2467256,15100,0,0
600077,宋都股份,78180716,2896471,1947946,66200,15100,5000
600078,澄星股份,107760670,8914515,4875631,22900,12300,11100
600079,人福医药,346422523,14549067,11019411,37100,14200,76770
600085,同仁堂,418963998,9988877,12819560,696990,372084,372950
600086,东方金钰,443230658,6870716,7723426,44984,800,5300
600089,特变电工,1020504089,35004335,65037159,929646,2793151,2680824
600094,大名城,92782563,3352355,2884627,17300,12800,25379
600096,云天化,266742611,10370703,11963296,286353,196618,211300
600100,同方股份,1859615055,74587226,105527170,588422,759800,816050
600104,上汽集团,888819511,44669198,34218790,903977,731039,1089559
600107,美尔雅,154897510,5507543,10059627,53700,15500,15600
600108,亚盛集团,1330313371,60581321,92040349,378100,938287,1086587
600109,国金证券,1516275261,313389497,330737200,392480,689168,695868
600110,中科英华,211774593,8216694,8075396,6000,6000,25700
600111,包钢稀土,1851838567,48126293,69711008,847453,606327,528872
600113,浙江东日,158239645,3200180,3639140,22100,13900,1500
600115,东方航空,219261983,975170,7628157,240002,75000,195031
600116,三峡水利,142170851,6547878,7543080,14200,44663,46463
600118,中国卫星,855575202,33004356,33154883,320674,619449,581129
600119,长江投资,324907576,9329559,7610215,11500,600,0
600120,浙江东方,562544442,19359288,19338609,34887,42780,32800
600123,兰花科创,412828693,11297722,17252843,236730,230259,249869
600125,铁龙物流,352794233,9937890,16698885,293500,284000,25700
600132,重庆啤酒,197640644,4288943,4473634,112900,59400,32800
600138,中青旅,426458604,27584177,32999648,79496,102986,72076
600139,西部资源,211358849,0,1592234,104800,0,0
600141,兴发集团,276592109,2702462,4087222,19700,2400,5700
600143,金发科技,668809541,18124507,25098615,195400,145000,192700
600145,国创能源,76884688,2903298,3640440,77800,77300,61200
600146,大元股份,134031302,7390230,5692086,45100,2000,11500
