标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
510050,50ETF,12065105666,112260318,441135242,47747693,8587800,13266500
510160,小康ETF,800165,469,170,0,0,0
510180,180ETF,274816726,7168257,9329105,1334325,31600,145700
510300,300ETF,14193157188,182203508,285887127,67057780,11468300,25084207
510310,HS300ETF,7684097,491850,82046,0,0,0
510330,华夏300,4609612,98042,71549,0,0,0
510390,平安300,66022,0,3395,0,0,0
510500,500ETF,1822907038,17314655,23758223,805937735,2609100,5266000
510510,广发500,6737614,316267,190100,4000000,0,0
510590,平安500,3275,0,992,0,0,0
510810,上海国企,637094,81,30358,0,0,0
510880,红利ETF,19360616,612348,792558,700,0,0
510900,H股ETF,22475037805,175798542,291287938,0,0,0
512000,券商ETF,10175525,1328172,1640779,0,0,0
512070,非银ETF,7944809,0,6437,0,0,0
512090,MSCI易基,4325462,815680,926263,0,0,0
512160,MSCI基金,1343470,62593,1198440,0,0,0
512180,建信MSCI,1499396,308850,87248,0,0,0
512280,景顺MSCI,599847,13230,13230,0,0,0
512500,中证500,8283644,232328,943933,0,0,0
512520,MSCIETF,4594466,293191,383091,0,0,0
512580,环保ETF,3033099,28400,201878,0,0,0
512660,军工ETF,7445301,930007,1223456,0,0,0
512800,银行ETF,8087195,684319,628464,0,0,0
512880,证券ETF,74712084,3069151,6057615,0,0,0
512990,MSCIA股,3661696,111995,99190,0,0,0
513050,中概互联,278207352,3471673,1327987,89100,0,142600
518880,黄金ETF,18027675638,136069193,215598759,103100,38000,0
600000,浦发银行,4124204750,16920901,12724013,1863351,42900,121600
600004,白云机场,240070659,13774074,12991424,106715,0,24800
600006,东风汽车,293103200,561199,1073133,206100,0,0
600007,中国国贸,231938098,415963,543652,77100,100,2000
600008,首创股份,715178424,4130287,8284218,380503,0,32200
600009,上海机场,210178010,11123337,8999934,210187,1200,13800
600010,包钢股份,1361547131,37451598,21633947,2402900,1250800,786600
600011,华能国际,195369711,6365812,10113612,784135,41600,79400
600012,皖通高速,119973129,604256,3769844,23600,0,0
600015,华夏银行,2508321798,34295511,55266702,371869,70700,161200
600016,民生银行,8550368718,24477299,33217533,2173822,486860,235600
600017,日照港,427920724,969402,5360095,143100,4100,0
600018,上港集团,556625104,716875,3067535,193200,3600,3000
600019,宝钢股份,1317548791,15448296,31966007,2348700,464500,336994
600020,中原高速,207061268,1579858,2360422,0,0,0
600021,上海电力,207862504,2456741,3497453,135000,5200,4800
600022,山东钢铁,1179275363,14120049,21146521,2938500,818700,719200
600023,浙能电力,271741332,2633187,2033482,341000,33800,99300
600026,中远海能,443382126,4952521,5024481,225300,2000,0
600027,华电国际,287813412,6256727,6757862,257400,120400,0
600028,中国石化,1484236510,51966863,42592938,2623991,301000,1451000
600029,南方航空,1327883275,36263590,46354948,2506531,242200,668800
600030,中信证券,7570288188,187880758,129764599,4749733,2510100,1533300
600031,三一重工,1070380470,16721658,72117884,6874197,110000,49100
600033,福建高速,171759819,249022,522366,38700,0,0
600036,招商银行,2592013332,57057825,73853695,3618574,66100,67600
600037,歌华有线,507783808,4082367,2687914,82800,0,83200
600038,中直股份,641265511,24891855,14553618,79507,7600,13200
600039,四川路桥,353078388,20748874,18672538,670200,226500,107700
600048,保利地产,2099781621,205641367,79242436,2170648,19900,596400
600050,中国联通,4206809710,42710600,71859970,1923700,26900,1060300
600056,中国医药,608470252,9657750,14289558,107000,0,1000
600058,五矿发展,361973977,5847047,7938502,97936,33700,24500
600059,古越龙山,399321170,2328286,2563818,63400,0,20000
600060,海信电器,477067368,6497541,6579849,153500,10000,146200
600061,国投资本,343192526,8705400,6749137,43252,0,35300
600062,华润双鹤,265990983,3155221,3291828,41424,0,3400
600063,皖维高新,378982495,2749954,6781383,234000,0,0
600064,南京高科,409005797,3370358,7526635,36600,0,0
600066,宇通客车,361480236,2989210,6933603,427850,29300,17900
600067,冠城大通,587001186,2606912,2679350,8100,0,0
600068,葛洲坝,1316367338,30516330,32695569,561500,57000,94400
600073,上海梅林,457160822,5655349,6204882,50441,0,5100
600077,宋都股份,354101172,891539,2964453,0,0,0
600078,澄星股份,284066377,4243167,2332735,91100,0,0
600079,人福医药,721200773,28704315,17022181,227600,36400,0
600085,同仁堂,466439671,4171695,7736752,75900,2900,500
600086,东方金钰,336002948,0,50010,0,0,0
600088,中视传媒,251972595,1293368,1647101,8044,2000,5100
600089,特变电工,1500513202,35170961,35530635,43100,0,28700
600094,大名城,509090454,1493868,1144564,200000,0,2600
600096,云天化,375544678,3285353,3084063,21100,0,0
600098,广州发展,272047369,2308135,1540682,127800,9000,2300
600100,同方股份,1549554442,2106912,5313566,348000,2000,22300
600104,上汽集团,1872947360,11464975,17385821,1255437,56700,57300
600107,美尔雅,310958470,2227261,2265413,27440,10600,1900
600108,亚盛集团,625768992,3501210,2954066,226900,0,700
600109,国金证券,1705230196,11080263,11937224,397800,83300,94600
600110,诺德股份,956092490,11701046,10953808,126000,0,34400
600111,北方稀土,1877992526,68131209,84840921,1107311,613900,253300
600113,浙江东日,272451246,7614866,8619541,132600,0,0
600115,东方航空,642301496,17790812,19893000,444400,2800,258500
600116,三峡水利,417760789,3633617,6040815,47000,0,100900
600118,中国卫星,1124843237,16362306,25717658,221314,17400,21400
600119,长江投资,317422024,13658236,11345253,199108,10000,30000
600120,浙江东方,664432331,3773518,6745998,35442,0,4200
600122,宏图高科,302297065,0,455103,34000,0,0
600123,兰花科创,678326981,5513502,6825888,168200,0,16100
600125,铁龙物流,734244624,14329962,27300007,299109,10000,25800
600132,重庆啤酒,102871291,3843196,2702477,22083,10200,21100
600135,乐凯胶片,419037942,7646649,8244003,55400,0,0
600138,中青旅,339993345,11346025,26176428,244670,28400,34562
600139,西部资源,331867411,5584831,5677487,138500,0,0
600141,兴发集团,765708134,5215265,11330089,118467,3400,0
600143,金发科技,436260109,3854011,3842402,282411,24100,28600
600146,商赢环球,249824286,46272499,39608435,1003198,0,1100
600151,航天机电,324400870,3462086,6332387,65800,0,0
600153,建发股份,880786073,2315750,11808548,132335,5379,5300
600155,华创阳安,379183791,3072071,8923320,106800,700,5400
600157,永泰能源,600128280,0,2136705,206516,0,0
600158,中体产业,837860746,10771098,9252150,81700,2000,0
600160,巨化股份,964238136,10167291,9495927,310610,33400,5000
600161,天坛生物,666347971,5074656,7439525,49700,9200,2000
600162,香江控股,211198283,4510029,3682698,43000,0,0
600166,福田汽车,836527416,2610545,3677050,823500,336000,298600
600168,武汉控股,123420564,423248,1144265,39000,0,0
600169,太原重工,269199184,3778202,3085469,131389,0,158400
600170,上海建工,487778531,816324,4913329,532200,150300,0
600171,上海贝岭,821592153,15975495,12080418,336880,18300,85500
600175,美都能源,427821442,30599577,41539862,31400,0,0
600176,中国巨石,1116208172,9907857,23125635,92241,15600,10500
600177,雅戈尔,921202963,4467609,4091930,680880,10000,0
600183,生益科技,477630322,7292930,18573532,197115,5000,27500
600185,格力地产,419202074,11260845,13517341,16700,0,198700
600186,莲花健康,217414800,1451050,8336259,33200,23700,7200
600187,国中水务,355644269,2424783,4360849,18500,0,177100
600188,兖州煤业,785574882,31547574,27794872,246830,2700,11400
600196,复星医药,1725412098,60712544,52619247,157475,7900,65400
600197,伊力特,261434802,23445137,17498912,27243,2400,9400
600199,金种子酒,261221705,7223132,10713104,71200,0,0
600200,江苏吴中,502802402,2235954,3573895,83100,0,1500
600201,生物股份,945922554,13350135,9367824,155548,10500,42830
600206,有研新材,713073356,31194434,28643009,223635,45800,61000
600208,新湖中宝,734643599,7658408,10059939,111100,0,0
600210,紫江企业,394538611,2332106,2148808,34400,0,0
600216,浙江医药,764966207,31774228,37323429,79100,21400,44600
600218,全柴动力,485996366,0,32620,21800,0,0
600219,南山铝业,1114688903,8115054,8168441,212000,80000,0
600220,江苏阳光,337812979,1314296,1842879,0,0,0
600221,海航控股,898826762,12617051,18411132,471700,0,309200
600222,太龙药业,271482668,1474490,2304386,0,0,0
600223,鲁商置业,319426142,1499143,928904,3000,0,0
600229,城市传媒,231382439,292481,622806,6500,0,0
600230,沧州大化,904014395,11889718,19130883,40315,3400,3456
600236,桂冠电力,79697954,2353045,2661321,0,0,0
