标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
510010,治理ETF,600211,0,0,641617,0,0
510050,50ETF,85299959,46327090,44398321,11027965,5454368,3191003
510180,180ETF,17439954,4129177,1767613,11504900,3560900,2447100
510880,红利ETF,2826963,544546,161613,48100,0,76100
600000,浦发银行,772085404,47893277,31388565,422155,36100,14400
600005,武钢股份,89851926,8261680,6708507,562236,771400,340600
600009,上海机场,68909770,25918057,10748533,34217,19000,12000
600010,包钢股份,100037286,15993635,15086612,1214000,254800,201700
600015,华夏银行,267288365,42127899,27503314,77660,10000,16700
600016,民生银行,996462683,49657319,26144194,975418,539400,1065581
600019,宝钢股份,182379761,16444314,7414126,417500,320000,0
600028,中国石化,178245449,15955390,5831960,492600,349900,188300
600029,南方航空,91733930,16985305,23138998,141119,0,0
600030,中信证券,883637233,52489921,58384418,2749512,452899,603999
600031,三一重工,99617242,14327173,10439578,771816,695579,608514
600036,招商银行,549287590,31661123,14860400,1264981,400100,287238
600037,歌华有线,67097809,10556661,10234115,33300,3400,10700
600048,保利地产,157503341,4520926,9001623,2397781,534243,200000
600050,中国联通,1175038277,43817084,59246953,607456,208700,85900
600058,五矿发展,119112937,21847654,11879057,97927,97800,77000
600064,南京高科,51962893,3900109,1792872,16305,0,10000
600068,葛洲坝,90546257,6866278,11961568,231020,0,0
600085,同仁堂,56740255,3871327,2458645,192469,91800,122139
600089,特变电工,554308325,24712976,48092418,872759,236900,319110
600096,云天化,43868401,0,421025,61754,0,0
600100,同方股份,561060802,28241802,37408066,525295,176300,207200
600104,上汽集团,98482350,6822580,11950435,818746,290427,192767
600108,亚盛集团,39470207,958451,3343937,213534,110300,167800
600109,国金证券,17955502,7935407,2878539,143120,17200,23300
600111,包钢稀土,368740656,96434206,57603930,184814,301500,277820
600115,东方航空,22554411,5182094,3521195,126600,17500,17500
600118,中国卫星,23981467,3416283,5348851,85498,25400,9300
600123,兰花科创,180495687,24031763,9823470,154805,28200,14977
600132,重庆啤酒,81066597,23431430,14758616,127527,1000,4000
600150,中国船舶,64599795,9745725,6335314,5715,3800,2500
600151,航天机电,18882370,2872621,1226936,158100,51300,17700
600158,中体产业,66974914,0,1669329,61300,0,0
