标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
510050,50ETF,12393980590,190074830,255923556,52426393,18995200,12613500
510160,小康ETF,799866,155,216473,0,0,0
510180,180ETF,276977574,8584411,2029910,1448425,459500,230900
510300,300ETF,14296840807,162203895,193057161,80673687,32343455,14314700
510310,HS300ETF,7274293,923218,500494,0,0,0
510330,华夏300,4583119,225114,2151788,0,0,0
510390,平安300,69417,3715,26764,0,0,0
510500,500ETF,1829350606,34110703,69728373,808594635,14946200,7709400
510510,广发500,6611447,800367,221239,4000000,1600000,0
510590,平安500,4267,0,2809,0,0,0
510810,上海国企,667371,0,8704,0,0,0
510880,红利ETF,19540826,516315,955399,700,0,0
510900,H股ETF,22590527201,110008279,294659164,0,0,0
512000,券商ETF,10488132,3260073,1289071,0,0,0
512070,非银ETF,7951246,17001,35968,0,0,0
512090,MSCI易基,4436045,1356591,2017397,0,0,0
512160,MSCI基金,2479317,386465,455771,0,0,0
512180,建信MSCI,1277794,0,849208,0,0,0
512280,景顺MSCI,599847,13888,505625,0,0,0
512500,中证500,8995249,350823,262475,0,0,0
512520,MSCIETF,4684366,1319829,316152,0,0,0
512580,环保ETF,3206577,74641,122167,0,0,0
512660,军工ETF,7738750,1460613,2196291,0,0,0
512800,银行ETF,8031340,2283132,665244,0,0,0
512880,证券ETF,77700548,3979693,5312565,0,0,0
512990,MSCIA股,3648891,284186,356219,0,0,0
513050,中概互联,276063666,1130126,9410824,231700,142600,0
518880,黄金ETF,18107205204,94055795,198152647,65100,0,7755600
600000,浦发银行,4120007862,25561520,10656138,1942051,95000,281800
600004,白云机场,239288009,8839443,8256440,131515,35400,7900
600006,东风汽车,293615134,3549914,2214796,206100,65400,0
600007,中国国贸,232065787,1191021,2831759,79000,18900,7800
600008,首创股份,719332355,4508412,6190533,412703,3900,96500
600009,上海机场,208054607,16581555,22959294,222787,11400,44000
600010,包钢股份,1345729480,18579912,39300129,1938700,1136500,750800
600011,华能国际,199117511,15188098,11469976,821935,124400,48400
600012,皖通高速,123138717,3567910,1774819,23600,0,0
600015,华夏银行,2529292989,47474181,102171954,462369,227700,458100
600016,民生银行,8559108952,47259988,75776271,1922562,235600,141700
600017,日照港,432311417,4310348,3568110,139000,23200,0
600018,上港集团,558975764,3191321,3081917,192600,8700,70200
600019,宝钢股份,1334066502,35959396,64082092,2221194,736574,393900
600020,中原高速,207841832,2461463,4522673,0,0,0
600021,上海电力,208903216,2108829,4550237,134600,6400,48200
600022,山东钢铁,1186301835,41954441,33447972,2839000,1112100,2279500
600023,浙能电力,271141627,3275789,3368492,406500,100000,31600
600026,中远海能,443454086,6678455,9442015,223300,56500,39900
600027,华电国际,288314547,4362930,14112583,137000,0,120300
600028,中国石化,1474862585,95847547,95459713,3773991,2142600,329300
600029,南方航空,1337974633,57835753,58960147,2933131,502000,325800
600030,中信证券,7512172029,146792407,231947469,3772933,1833100,520900
600031,三一重工,1125776696,38341222,65692438,6813297,6500,130000
600033,福建高速,172033163,916727,2163911,38700,0,0
600036,招商银行,2608809202,86511557,86411327,3620074,145900,99550
600037,歌华有线,506389355,7434765,10231686,166000,87100,2700
600038,中直股份,630927274,21405595,25467490,85107,19700,8200
600039,四川路桥,351002052,18964868,28039520,551400,112100,248400
600048,保利地产,1973382690,149785207,190071086,2747148,1012500,192400
600050,中国联通,4235959080,106517166,118110449,2957100,1446500,299800
600056,中国医药,613102060,21360770,25101690,108000,23800,8700
600058,五矿发展,364065432,3456508,2241181,88736,3200,3900
600059,古越龙山,399556702,4970293,3513427,83400,20000,4373
600060,海信电器,477149676,13420113,14720390,289700,217300,18500
600061,国投资本,341236263,6522180,6986381,78552,35300,0
600062,华润双鹤,266127590,6120662,8658062,44824,3800,4600
600063,皖维高新,383013924,5204901,5004197,234000,0,0
600064,南京高科,413162074,14434328,11362903,36600,0,0
600066,宇通客车,365424629,3755866,11675777,416450,142900,9200
600067,冠城大通,587073624,2316329,2907004,8100,0,0
600068,葛洲坝,1318546577,37693517,26611351,598900,116300,492600
600073,上海梅林,457710355,8625678,10975347,55541,14900,10000
600077,宋都股份,356174086,2434164,6300374,0,0,0
600078,澄星股份,282155945,3032923,2643701,91100,0,300
600079,人福医药,709518639,18386602,17342241,191200,6300,400
600085,同仁堂,470004728,10770496,16756531,73500,4600,8000
600086,东方金钰,336052958,0,2653836,0,0,0
600088,中视传媒,252326328,3274082,1957410,11144,5400,2500
600089,特变电工,1500872876,77442062,45674787,71800,23300,21200
600094,大名城,508741150,1871350,4794993,202600,11400,2900
600096,云天化,375343388,4732528,4263402,21100,0,40000
600098,广州发展,271279916,1907864,3337213,121100,11000,2800
600100,同方股份,1552761096,6248047,6536857,368300,26700,31200
600104,上汽集团,1878868206,18748171,16608944,1256037,78300,89500
600107,美尔雅,310996622,3517513,2145952,18740,0,0
600108,亚盛集团,625221848,5478121,3323124,227600,10500,17500
600109,国金证券,1706087157,29752215,27728987,409100,130000,195700
600110,诺德股份,955345252,11167544,11061815,160400,25600,0
600111,北方稀土,1894702238,38439652,38668678,746711,356600,51500
600113,浙江东日,273455921,9677273,6370204,132600,6000,0
600115,东方航空,644403684,20431100,31046789,700100,259600,347700
600116,三峡水利,420167987,8633181,6884438,147900,100900,1800
600118,中国卫星,1134198589,26799961,23787977,225314,61700,68500
600119,长江投资,315109041,14447189,17165992,219108,30000,10000
600120,浙江东方,667404811,9518290,6555775,39642,3100,0
600122,宏图高科,302752168,0,417788,34000,0,0
600123,兰花科创,679639367,17342131,24357371,184300,34800,49100
600125,铁龙物流,747214669,18972064,36541966,314909,29700,317400
600132,重庆啤酒,101730572,3897178,4726610,32983,24100,35700
600135,乐凯胶片,419635296,6274487,6147716,55400,3100,6800
600138,中青旅,354823748,23587050,22683810,250832,108215,45583
600139,西部资源,331960067,3558200,3187814,138500,12600,0
600141,兴发集团,771822958,20134984,15941696,115067,35849,5500
600143,金发科技,436248500,4209452,3826068,286911,32800,11400
600146,商赢环球,243160222,45389229,42151935,1004298,0,0
600151,航天机电,327271171,4724604,5957383,65800,0,0
600153,建发股份,890278871,14194611,17362521,132256,9800,59600
600155,华创阳安,385035040,7846447,10290807,111500,12500,37900
600157,永泰能源,602264985,0,389409,206516,0,0
600158,中体产业,836341798,16072005,15624749,79700,19800,44600
600160,巨化股份,963566772,34009661,24454961,282210,30100,14050
600161,天坛生物,668712840,2787625,12436619,42500,5800,7300
600162,香江控股,210370952,5147714,5573002,43000,0,0
600166,福田汽车,837593921,8024632,8286002,786100,618600,408880
600168,武汉控股,124141581,1860791,3052600,39000,4100,0
600169,太原重工,268506451,2775009,6167286,289789,101400,38800
600170,上海建工,491875536,4333910,15647246,381900,180000,150000
600171,上海贝岭,817697076,20839397,18297365,404080,163000,65300
600175,美都能源,438761727,45113922,20028964,31400,0,0
600176,中国巨石,1129425950,23616492,27015978,87141,15500,76000
600177,雅戈尔,920827284,9916624,9695709,670880,230720,500
600183,生益科技,488910924,15269428,21298300,219615,41000,26200
600185,格力地产,421458570,17955781,17431072,215400,198700,3500
600186,莲花健康,224300009,4695750,1287784,16700,0,0
600187,国中水务,357580335,4157957,5156835,195600,177100,25000
600188,兖州煤业,781822180,46660506,41406637,255530,14600,14400
600196,复星医药,1717318801,91306607,122491356,214975,65800,21900
600197,伊力特,255488577,30470984,29996540,34243,9517,12500
600199,金种子酒,264711677,11555450,18402201,71200,0,0
600200,江苏吴中,504140343,2367850,4205149,84600,0,0
600201,生物股份,941940243,11412550,20045270,187878,51680,34200
600206,有研新材,710521931,14339574,19733802,238835,126000,28000
600208,新湖中宝,737045130,15656800,16516985,111100,55300,282300
600210,紫江企业,394355313,2751340,3849942,34400,0,0
600216,浙江医药,770515408,34779749,52995208,102300,20600,25600
600218,全柴动力,486028986,0,82874,21800,0,0
600219,南山铝业,1114742290,9530424,13271653,132000,0,0
600220,江苏阳光,338341562,2525277,2025817,0,0,0
600221,海航控股,904620843,31870563,36421631,780900,754600,3500
600222,太龙药业,272312564,1742991,4028267,0,0,0
600223,鲁商置业,318855903,3712064,2675660,3000,0,0
600229,城市传媒,231712764,2255287,1223707,6500,0,0
600230,沧州大化,911255560,23629574,24085995,40371,3500,17500
600236,桂冠电力,80006230,4793063,4888069,0,0,0
600237,铜峰电子,318585312,3751819,5872389,83100,9000,0
600239,云南城投,528702062,1385419,1379180,62200,800,100000
600240,华业资本,609343011,11588102,27576040,152212,8300,8300
600251,冠农股份,253497190,6231549,4304624,61200,0,16000
600252,中恒集团,557368769,4137431,3751463,161100,24300,0
600256,广汇能源,1189069367,84835966,78876486,1061810,327900,302800
600257,大湖股份,314325427,4871491,4744464,36000,11000,0
600259,广晟有色,420925725,19229872,16730606,110400,69300,700
600260,凯乐科技,1901310592,41640324,42126241,78920,32400,21500
600261,阳光照明,192528696,1928320,1930058,47500,4900,0
600266,北京城建,1429063129,20432664,11670456,62200,6300,600
600267,海正药业,814029590,13059416,17722960,113613,36400,20900
600269,赣粤高速,325910234,2933945,2480041,30100,0,0
600270,外运发展,558196601,19196114,8715853,51000,2500,6100
600271,航天信息,760786478,42517481,97888266,473819,96700,105881
600273,嘉化能源,511707235,63273353,29344192,81100,33100,35500
600276,恒瑞医药,1463287629,180686244,186534843,942571,210576,265654
600277,亿利洁能,660384402,6168896,6194652,310826,28100,1500
600282,南钢股份,334039680,30907935,25440709,411000,111700,61100
600284,浦东建设,158576196,4756875,4309782,0,0,0
600285,羚锐制药,307137984,2963730,3957634,7000,0,200
600288,大恒科技,478555541,15685261,10420711,7600,6400,1400
600292,远达环保,366211327,5778910,2626708,77910,5500,0
600293,三峡新材,261969782,11651649,10405608,15400,0,0
600297,广汇汽车,515328906,6844772,17539173,85600,8000,20300
600298,安琪酵母,346407427,9463039,19669295,138890,22403,50300
600300,维维股份,344786654,3884156,6350993,121000,7900,0
600307,酒钢宏兴,586410084,9663897,6312100,296800,65400,13700
600309,万华化学,3563321850,128145029,137156412,1908858,197800,155200
600310,桂东电力,118180621,1049292,2317143,0,0,0
600312,平高电气,526886116,22305706,19347520,253795,34200,24600
600315,上海家化,953410670,9294626,9669380,236074,58700,81200
600316,洪都航空,518485767,17973430,13336626,220653,29300,1574
600318,新力金融,501021463,0,352769,12500,0,0
600320,振华重工,260523736,5187456,2524990,120000,120000,100000
600323,瀚蓝环境,430438970,10108537,9062924,52000,6400,26700
600325,华发股份,1306782661,49790748,64293940,218780,87400,4200
600326,西藏天路,473535430,103360843,81922109,504000,70000,259900
600329,中新药业,287340409,18880129,13804414,45820,6900,6000
600330,天通股份,686764850,15648356,10187300,80000,78000,0
600331,宏达股份,488880098,5912854,11060821,52300,4800,1000
600332,白云山,910225963,45550240,51764546,124616,42600,55400
600333,长春燃气,253332494,80275110,50760250,544300,90000,60000
600335,国机汽车,257494714,0,881145,12700,0,0
600336,澳柯玛,309732365,1493502,2628928,58100,6200,0
600337,美克家居,133452174,12581748,2762498,231100,31000,0
600340,华夏幸福,2907971482,74748018,84901359,435101,212800,46600
600343,航天动力,516537244,17641883,15076116,69695,0,0
600348,阳泉煤业,677134543,18571635,20162955,131500,27600,22600
600350,山东高速,258128484,5157546,4398087,118800,0,0
600352,浙江龙盛,2180097606,35732936,49161201,478900,47200,57600
600354,敦煌种业,276247430,3551183,4243260,151700,0,0
600362,江西铜业,1181933684,37257264,33087361,241100,300,24200
600363,联创光电,545501799,6571617,5373615,19700,1500,0
600366,宁波韵升,489904881,4043887,7448184,119859,22900,10400
600369,西南证券,733955384,8823749,6155956,483600,177600,306400
600372,中航电子,625334947,16177893,20734503,249181,20000,24300
600373,中文传媒,758219213,7097685,17105762,93573,4900,0
600376,首开股份,485733979,6621176,15032754,16600,11400,6300
600377,宁沪高速,53192227,219028,382498,317635,1200,258478
600380,健康元,711648635,8111347,20883203,100214,16400,12800
600382,广东明珠,550782519,3746543,2838654,70025,6600,4700
600383,金地集团,3045998372,25940487,38415883,430800,264400,23800
600386,北巴传媒,241247715,2224923,3275835,30100,0,0
600387,海越能源,362776042,26296608,20297505,17700,0,0
600388,龙净环保,843066240,7153978,22543098,88700,7100,0
600389,江山股份,310125252,2374776,3915728,49517,6600,4000
600391,航发科技,465233648,18307341,15075224,48300,6300,8700
600392,盛和资源,1008914923,56445871,58899830,645587,167000,110280
600395,盘江股份,318819650,3446606,3631102,70198,4900,2200
600398,海澜之家,190337544,4772130,7909113,60400,2200,40200
600406,国电南瑞,1305324682,14305857,14945669,330040,3000,55300
600409,三友化工,1020587543,45545111,43790375,258800,54300,47800
600410,华胜天成,1013752730,16757297,14094384,137191,36000,26800
600415,小商品城,550619679,2969234,2923177,715700,338800,90800
600416,湘电股份,545260988,2270389,6204091,51900,5700,0
