 标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
601669,中国电建,362608441,0,1878138,724800,0,0
601688,华泰证券,1589735198,153441946,201285712,1303479,1798015,1822924
601699,潞安环能,526322620,48044846,66175237,375369,1565848,1609857
601717,郑煤机,721810990,42692261,28444436,928262,214700,219997
601766,中国南车,1319287399,82754709,90298508,3000256,2297711,1744211
601788,光大证券,871884035,74086482,91967919,362775,603743,532505
601789,宁波建工,352422869,83885517,25067692,25503,240400,237197
601800,中国交建,395990621,35856883,25379868,1242500,125800,175200
601801,皖新传媒,381925409,30208242,38809627,42007,12400,10600
601808,中海油服,740672803,88185429,80547249,325175,761281,718681
601818,光大银行,1497858844,43732413,57569635,6117191,8200585,9675785
601857,中国石油,609976726,23255122,61419547,1641636,1121600,1057100
601866,中海集运,338182440,62738423,114146097,1566900,3275413,3236813
601886,江河创建,253535668,15975620,22735023,6500,1400,15200
601888,中国国旅,411959251,14329110,22728035,286188,29160,57438
601898,中煤能源,464748665,21377457,38919260,690105,632000,684800
601899,紫金矿业,379790316,33765640,59123307,2257801,2475800,2127600
601901,方正证券,1691083256,149952386,177367122,279400,1807203,1882103
601918,国投新集,350863747,28672887,28856582,390428,373700,374300
601928,凤凰传媒,1065344202,103331801,118266097,192504,515364,554464
601929,吉视传媒,1007676500,58102305,55981159,174500,51300,90806
601933,永辉超市,560693093,33010692,38305760,486903,162900,173100
601939,建设银行,577663712,11466518,22093126,2759267,1911700,754200
601958,金钼股份,493601808,30383262,37145138,916957,761030,795330
601988,中国银行,345512930,12936906,20384957,1197057,3232976,3456515
601989,中国重工,2123975357,604471733,410315018,3238881,13060683,11782843
601991,大唐发电,129324944,9576429,12704887,428515,210300,49800
601992,金隅股份,529188426,57435127,48467098,432298,347862,322392
601996,丰林集团,298747068,32016335,28837393,17200,5200,5200
601998,中信银行,442855952,31329536,71199339,882000,732000,590200
603000,人民网,1591262196,226938799,267184247,163450,63156,69942
