标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
510010,治理ETF,1853235,9964,2581,0,0,0
510050,50ETF,6378462564,50557814,18555900,28845083,15997200,664700
510160,小康ETF,84493,3743,3026,0,0,0
510180,180ETF,361921334,504115,669673,2450961,52000,0
510230,金融ETF,8011838,9903,337348,0,0,0
510300,300ETF,17223874035,65455112,49286649,54591223,15374900,26241689
510310,HS300ETF,3202669,87911,18814,0,0,0
510330,华夏300,3096668,49042,12893,36200,0,0
510500,500ETF,141133056,5461670,6857100,94830548,2402200,9213500
510810,上海国企,1195976,80181,2499,0,0,0
510880,红利ETF,9999800,180386,533484,52500,0,500
510900,H股ETF,6438790292,74439563,72402619,0,0,0
512070,非银ETF,7818544,499,167,0,0,0
512500,中证500,2159148,0,3091,0,0,0
518880,黄金ETF,17092297644,145210860,65838941,645300,335100,87000
600000,浦发银行,2313049979,45920836,33612916,1751930,87900,98100
600004,白云机场,279580522,49980230,16123405,60000,0,0
600006,东风汽车,425187756,8049679,3099320,19700,15600,0
600007,中国国贸,612519259,1002511,2847127,24700,10900,3300
600008,首创股份,2397136053,1042150309,1067667300,1509880,430000,327800
600009,上海机场,209123554,8476629,6652460,180799,24700,57833
600010,包钢股份,1386803768,9894467,8363258,90600,44000,82000
600011,华能国际,240386023,10764745,8337789,287600,162900,121600
600015,华夏银行,2713794141,37857486,30664048,5557290,91868,12800
600016,民生银行,8235718116,181565447,89902327,6213541,192800,157500
600017,日照港,738507297,34849812,15050959,30000,0,70000
600018,上港集团,574946237,5905918,11987177,4269700,9500,471600
600019,宝钢股份,1157470397,41100935,34347923,522800,110000,6000
600020,中原高速,213489680,10754310,10635172,0,0,0
600021,上海电力,386009810,11980710,10163190,148600,4000,6700
600022,山东钢铁,615820032,7420306,6096913,2468120,15000,0
600023,浙能电力,604310537,3320633,13111199,99600,12500,37200
600026,中远海能,566946295,12367879,20879527,2000,0,20000
600027,华电国际,330499446,12366496,7048909,76300,2000,24000
600028,中国石化,2028064349,17823637,28896250,2448370,668300,718800
600029,南方航空,1301751145,18192697,21090444,4969910,243600,105600
600030,中信证券,7780494740,115980385,84091797,3252100,199800,1213814
600031,三一重工,1003511153,13287339,24333975,251800,1000,52800
600033,福建高速,174421990,7685434,6263349,0,0,0
600036,招商银行,2628070919,71634591,96949563,2129055,255100,230562
600037,歌华有线,794992842,10752123,6638913,30582,20600,18200
600038,中直股份,777455376,20829209,17099025,105560,23900,12016
600039,四川路桥,533026080,6267935,14328831,7100,2900,0
600048,保利地产,1870517348,41276308,38250430,557469,286800,112100
