标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
510050,50ETF,11826491957,71016929,146738657,32219794,10047800,9449300
510160,小康ETF,1049179,69547,38299,0,0,0
510180,180ETF,289935811,1127949,1425460,810425,43900,161300
510300,300ETF,16147395133,78053785,171461210,58358450,23011720,21423203
510310,HS300ETF,5389088,290954,645295,0,0,0
510330,华夏300,3614965,59884,223161,34700,0,0
510390,平安300,321078,0,33880,0,0,0
510500,500ETF,1678885089,58417479,56853669,622569404,12316400,515100
510510,广发500,5372172,173152,124183,5250000,0,0
510810,上海国企,753641,1316,0,0,0,0
510880,红利ETF,17620111,1180626,1063834,2000,0,0
510900,H股ETF,25171180123,241203428,610217266,0,0,0
512070,非银ETF,9113905,950,371136,0,0,0
512500,中证500,3352073,364334,231759,0,0,0
512880,证券ETF,59099788,4569646,6090289,0,0,0
513050,中概互联,45880696,2288816,2044493,779900,758700,1314500
513660,恒生通,1555042,0,6,0,0,0
518880,黄金ETF,20521670667,243635674,426806670,115300,0,0
600000,浦发银行,4436597170,13850322,27277438,787937,267600,210300
600004,白云机场,302629709,11195841,37564218,155308,25800,0
600006,东风汽车,297183718,3758155,2758005,56929,17400,25100
600007,中国国贸,243449674,831726,315504,50500,13400,700
600008,首创股份,784296453,9860354,19049509,406200,6800,294100
600009,上海机场,155417765,22856863,21219465,240604,3100,18200
600010,包钢股份,1296418365,26887027,35609146,2262360,455000,573200
600011,华能国际,189772933,4047573,2813080,644454,144700,117300
600012,皖通高速,158618657,3689464,4303388,6400,0,0
600015,华夏银行,2713161997,37224570,37525478,96589,19800,37400
600016,民生银行,9141150675,48691520,86361203,2590515,2230593,2314679
600017,日照港,445263988,1343308,2850410,0,0,0
600018,上港集团,603982790,2710490,5753924,450591,63300,357800
600019,宝钢股份,1345763977,32167571,37976894,1572500,778800,664400
600020,中原高速,224103605,1763958,2757010,0,0,0
600021,上海电力,241000056,6928933,3942541,102700,0,135000
600022,山东钢铁,1341100798,0,11432453,512300,0,0
600023,浙能电力,325463217,5062130,4876967,124200,37500,8500
600026,中远海能,467138228,5424930,8959128,23400,0,73600
600027,华电国际,305148680,5831322,5259326,238900,200400,22200
600028,中国石化,1649372280,28578294,40326839,11709876,3268700,5187372
600029,南方航空,1325741090,79356981,70719610,2186799,800000,1826391
600030,中信证券,8108125740,220643479,322693978,9464890,6840231,6928584
600031,三一重工,1185434018,88381730,123420674,5036812,385800,377314
600033,福建高速,178639564,1373697,752190,0,0,0
600036,招商银行,2987766918,61622986,113926688,2831659,771000,545200
600037,歌华有线,538518497,8030911,6103759,18400,4000,3000
600038,中直股份,722666038,16350883,22759759,90810,17100,2600
600039,四川路桥,362887695,1639888,2718008,48900,10000,0
600048,保利地产,2239152642,214718493,166549145,1926005,626742,832759
600050,中国联通,4424984432,84981539,64710067,1085000,594400,179200
600056,中国医药,630158047,24304291,22013127,27100,400,11800
600058,五矿发展,406316645,3510676,5176757,16346,5500,28600
600059,古越龙山,401212905,7137629,11365926,14100,0,1000
600060,海信电器,505369336,14241323,9059111,134500,37000,72600
600061,国投资本,347949571,12104830,9570707,13500,0,0
