标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
600800,天津磁卡,228635388,6137202,8188626,196600,0,0
600801,华新水泥,183431398,1691403,5133135,41480,2400,1800
600802,福建水泥,126092358,5712829,3825420,0,0,0
600804,鹏博士,2076928809,62319657,56615665,591320,361734,310734
600805,悦达投资,743294243,18400939,11353615,43300,5600,13200
600807,天业股份,148563602,2227915,957891,8900,0,0
600809,山西汾酒,297580534,15655749,16535854,54197,227749,244149
600811,东方集团,481782732,12387540,13361652,70600,78500,85800
600815,厦工股份,141746996,4007238,3990572,27609,104500,104000
600816,安信信托,441856028,7436970,8217877,95000,0,0
600820,隧道股份,471937498,7203008,7050605,129380,50000,18500
600823,世茂股份,364119648,3290319,4766676,291087,76000,3000
600825,新华传媒,348900328,4291137,3745517,17800,21300,31500
600827,友谊股份,928499484,31217659,47022283,283003,263494,282493
600830,香溢融通,228223223,6528795,4030648,7700,0,0
600831,广电网络,291730133,7522207,4717762,18900,0,0
600832,东方明珠,1156301524,0,2262836,749714,0,0
600835,上海机电,405906964,14776725,14482454,3537,18600,18100
600837,海通证券,3332735554,59024066,43801072,2352747,565079,606479
600838,上海九百,240441259,4777534,6183667,11600,10200,10200
600839,四川长虹,1832918957,17078855,14024253,1568500,139300,147500
600844,丹化科技,145911581,1511313,2449493,14900,0,0
600846,同济科技,573405956,30679931,37683417,37500,3000,7000
600851,海欣股份,203301626,11586778,11298819,5097,40000,40000
600863,内蒙华电,383937496,5679516,8387225,410700,39000,65500
600867,通化东宝,376943247,24522110,27082887,133750,128650,29700
600868,梅雁吉祥,140957935,3610055,6477443,2500,0,44600
600872,中炬高新,166706839,3078486,6411396,126819,10000,1200
600874,创业环保,229861977,3430312,4967607,43200,71500,71500
600875,东方电气,637677021,15651749,14367443,179811,91672,76772
600879,航天电子,781969896,21300231,30502958,84092,115000,105200
600880,博瑞传播,1431403179,134731139,102689358,147820,329093,404693
600881,亚泰集团,179426945,4791945,5563127,77153,0,2500
600884,杉杉股份,416961221,18973608,16224636,44696,46096,45800
600886,国投电力,790635534,6327198,19084325,2756406,318245,303200
600887,伊利股份,1553358449,46545279,63069105,716530,840735,862087
600893,航空动力,1211525581,37706014,61428262,281119,278423,310043
600895,张江高科,348120396,1281257,3701844,60000,1500,300
600900,长江电力,1105447562,2369223,8046908,3043670,120500,113011
600967,北方创业,507018083,27413968,17872724,50897,0,0
600970,中材国际,200046050,1251567,4470472,58800,20000,0
600971,恒源煤电,112344787,6396423,10818216,48160,216200,218200
600976,武汉健民,167174677,6606550,2010576,5200,0,0
600987,航民股份,112632804,2532391,3039890,69700,1000,40300
600993,马应龙,271318437,5659824,6828732,5500,0,2300
600999,招商证券,1169343270,25926195,51153134,381790,123100,166100
601001,大同煤业,227797662,19866755,25283847,431461,245900,250900
601002,晋亿实业,385341184,30300766,25406780,31100,158100,161500
601005,重庆钢铁,32367150,539770,546166,81900,0,0
601006,大秦铁路,1091341321,30329985,11331329,1176389,156283,333200
601009,南京银行,466257443,3366059,7914440,389700,8800,0
601012,隆基股份,202251560,0,744731,18500,0,0
601038,一拖股份,172010035,3933281,4802951,35200,4200,3000
601088,中国神华,794111683,8701590,7242986,1302809,446176,446138
601098,中南传媒,680894618,51419307,69822317,220567,646023,603623
601099,太平洋,1308623263,90906048,60026303,231600,267369,229769
601101,昊华能源,144901436,14512773,10767737,239000,266298,258998
601111,中国国航,202187326,2858178,2642618,172703,6200,0
601117,中国化学,916240970,14118360,22895831,631400,364605,337305
601118,海南橡胶,628324317,73704935,50765007,607115,1008895,994695
601139,深圳燃气,144240323,3786520,9505973,142588,4100,3300
601158,重庆水务,145496351,1197886,3101656,23100,0,0
601166,兴业银行,5381485034,142980582,101193207,2167059,876700,1024879
601168,西部矿业,464575506,26057294,26151670,606596,235290,300590
601169,北京银行,917572681,10243686,40292675,2320357,393300,109500
601186,中国铁建,679448994,5560099,5388389,1170866,123039,37639
601216,内蒙君正,444811140,6924472,11142923,17500,23000,46600
601231,环旭电子,140608457,8542742,7733995,109566,13306,19000
601238,广汽集团,95549013,3239386,2218803,125435,46300,81700
601288,农业银行,849971669,14424457,18944547,5004786,4294700,1206102
601299,中国北车,863675917,13461394,44384568,560454,73000,122500
601311,骆驼股份,430306474,6974747,8610150,34418,2400,3000
601318,中国平安,8829886403,85533788,51561753,1246640,329209,276199
601328,交通银行,1520871129,22973028,33821666,984595,926400,1029300
601333,广深铁路,385757810,2458309,4528094,97100,117800,149900
601336,新华保险,311171341,18345284,4245749,175138,71290,134981
601377,兴业证券,730695315,14056263,10270737,535507,99200,90400
601388,怡球资源,176512836,6353470,4723499,48422,3500,3500
601390,中国中铁,479882392,8543426,5182328,333900,345000,267400
601398,工商银行,1004315698,12689355,69905338,7376747,472230,1896438
601519,大智慧,515654992,18830199,18513688,30200,5300,1100
601555,东吴证券,633286126,20336385,14964601,89000,87400,129000
601600,中国铝业,300209278,6441364,6895295,517862,20000,22000
601601,中国太保,843610937,6288574,12085781,3864965,299884,279679
601607,上海医药,686222202,4686768,7628305,293506,51797,65897
601608,中信重工,118557343,1191002,1356189,197272,0,0
601618,中国中冶,301740579,3981714,6461001,1514102,353500,644404
601628,中国人寿,654608229,6618198,7156251,694484,272171,815715
601633,长城汽车,505848062,12785410,27873371,161577,195323,209616
601666,平煤股份,171799266,9189069,8680750,360726,704900,727200
601668,中国建筑,1496713647,12144576,21640327,1453046,590200,511294
601669,中国电建,563096654,0,2109188,724800,0,0
601688,华泰证券,1218848517,28280192,28685497,403423,125329,429229
601699,潞安环能,380016596,20443393,20305566,303904,1370512,1364012
601717,郑煤机,627073506,12465594,17138564,803765,107700,136000
601766,中国南车,633786053,15398384,10047709,891456,218200,274800
601788,光大证券,661400365,12928959,16542993,255561,134800,46900
601789,宁波建工,251221379,0,838926,27000,4500,0
601800,中国交建,347762231,3508389,6099771,83167,0,0
601801,皖新传媒,268266544,15886206,11296527,57907,18300,6900
601808,中海油服,659758470,28836559,18565970,155746,123447,153047
601818,光大银行,1589111854,51502014,38739041,860000,921600,3651063
601857,中国石油,504439702,13808971,6629862,624904,695100,633768
601866,中海集运,152436381,1098865,2099564,984600,19200,263479
601886,江河创建,139201694,2516369,1392321,16800,16800,0
601888,中国国旅,298800348,5576848,2779361,281936,67724,93524
601898,中煤能源,258128375,9307846,8077549,614505,449800,345900
601899,紫金矿业,292589943,5800906,6356303,1637862,395900,156100
601901,方正证券,1457398634,13248981,19235795,327973,169000,210624
601918,国投新集,163089552,5560885,8054929,177179,734700,739871
601928,凤凰传媒,857997770,71777804,43338133,133700,1575566,1610466
601929,吉视传媒,887126002,7675381,4565784,170500,100900,121700
601933,永辉超市,331202568,13992962,6485521,338503,278600,276400
601939,建设银行,471858307,4162589,4070489,2652954,97200,256400
601958,金钼股份,437402200,24938402,30219072,1260513,47000,84600
601988,中国银行,309776269,12995836,5175008,1780169,2272100,3412168
601989,中国重工,1630854085,15915561,22728067,494000,92600,98000
601991,大唐发电,90495888,3798189,5519110,789915,9000,5200
601992,金隅股份,387912629,12531955,10774256,280400,204000,199000
601996,丰林集团,182609246,7711437,9081429,30600,0,0
601998,中信银行,656867708,12167174,8858724,631268,512900,363600
603000,人民网,783731065,26672162,28730658,59520,30465,25665
