标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
510010,治理ETF,6674642,38694,6577,289469,25600,4100
510050,50ETF,376285203,44381785,63364454,32209101,26965301,21041818
510180,180ETF,237747444,4328914,4570917,35699512,18415346,11242999
510300,300ETF,1940812372,295351615,62190265,62839473,188064071,182597296
510880,红利ETF,8250007,0,0,611130,11400,49953
600000,浦发银行,2025613785,82532650,95764721,6587013,2395849,2305278
600005,武钢股份,104164126,1203278,2404684,360204,300,63700
600009,上海机场,103322635,5027316,533630,381501,14900,193990
600010,包钢股份,630208102,33029954,36153560,3018070,1978699,1596999
600015,华夏银行,530032943,54187055,41429193,1890845,897842,725167
600016,民生银行,1848670613,76778112,84522850,17102274,2846910,1364308
600019,宝钢股份,170677074,15415125,7622048,534119,10000,10100
600028,中国石化,173318911,4487403,1586893,801900,197500,131200
600029,南方航空,296630103,4702144,7425539,1205469,46200,53531
600030,中信证券,1246163981,86013744,123404528,7411916,2137427,1916102
600031,三一重工,377589043,34521169,21853007,2486513,531601,733400
600036,招商银行,772499326,34675905,36358782,13782137,6836774,3475182
600037,歌华有线,209245747,12295669,9060602,255300,123200,1100
600048,保利地产,562194324,36256038,39617723,4755676,1003573,1212021
600050,中国联通,980798630,11338173,29944545,353300,46000,11200
600058,五矿发展,197231825,0,11908470,309914,0,0
600064,南京高科,208412325,28648677,3651830,91800,0,15500
600068,葛洲坝,269901989,12087597,18757653,355197,135300,171100
600085,同仁堂,184502831,11028873,21687243,569077,86000,74416
600089,特变电工,460612590,18775485,15850454,1548547,29900,84800
600096,云天化,156108407,7279945,5507406,135300,11600,17200
600100,同方股份,416424094,8005855,12654156,599519,105059,97459
600104,上汽集团,119928355,25862352,17089567,3099472,867004,731680
600108,亚盛集团,140955651,9034192,7778819,1541743,232800,163350
600109,国金证券,275646381,48903936,66480056,607800,325200,297200
600111,包钢稀土,2326430339,220472068,161249917,1703092,1686498,1612866
600115,东方航空,75398324,3831908,4499241,442133,128100,229300
