标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
510010,治理ETF,28827798,125512,59,741200,199100,5087300
510050,50ETF,4777635647,112404744,46705479,84870493,59449226,70287064
510180,180ETF,1171211109,12913624,3746489,88292032,36602200,32003500
510300,300ETF,5579644928,29200735,30603656,307787199,44807076,34961565
510330,华夏300,408269264,25692,306059,6971207,0,0
510500,500ETF,2753407,52170,74990,0,0,0
510880,红利ETF,68409807,0,221241,1811704,465230,385500
600000,浦发银行,3906878639,41112010,57208137,8214874,3325186,2688469
600005,武钢股份,175382333,4591262,2034740,1031822,502600,487700
600009,上海机场,122010841,1763877,1820687,1100356,297007,77019
600010,包钢股份,562935997,10987308,15461084,3667718,749600,671600
600011,华能国际,262947417,3018970,5633743,1425009,690600,239133
600015,华夏银行,1155985095,12802933,11569679,2649967,522786,485239
600016,民生银行,5157840708,40485365,64664048,36251642,6780750,6939916
600019,宝钢股份,294642288,13322141,7552684,1048100,1400800,1224000
600022,山东钢铁,88183364,671421,2232712,1070500,120000,0
600027,华电国际,196707304,13807873,7004745,228888,1095900,1050600
600028,中国石化,741595822,57564523,30467222,2021774,3786041,3225469
600029,南方航空,394843604,7742732,9046327,1329846,404000,158353
600030,中信证券,3650542116,53161418,60369678,3991036,4634920,3960874
600031,三一重工,525139180,6684671,9756649,3799021,1290590,1003834
600036,招商银行,1694743076,46754818,50543298,9233964,6851134,6251601
600038,哈飞股份,222469102,6750229,13002059,47500,4800,6700
600039,四川路桥,205711346,2520907,2251173,37600,26000,0
600048,保利地产,1310492023,22586873,15406173,3399540,2588697,3103531
600050,中国联通,1152982419,19165424,19193712,2298500,646900,970900
600058,五矿发展,252370255,4521301,6777300,405842,355480,295280
600059,古越龙山,224973977,15132505,5422305,66919,31900,19800
600060,海信电器,362405047,25108905,8577565,216724,113300,176500
600062,华润双鹤,176512336,6437251,4881994,166096,111917,133072
600063,皖维高新,125580256,1377806,1027388,33300,0,4500
600066,宇通客车,143513298,13752258,5491661,874991,247710,202960
600067,冠城大通,424261568,39059319,48228067,86538,10500,900
600068,葛洲坝,375545276,5141139,11261082,620904,330400,198200
600077,宋都股份,115984744,0,1992026,34200,0,0
600078,澄星股份,138670155,1201826,1849552,29800,31700,21600
600079,人福医药,152457198,9078725,10675822,25200,15900,10500
600085,同仁堂,457396716,8444584,13330913,771478,177772,183865
600086,东方金钰,374183422,35353123,40734234,34600,19300,16700
600089,特变电工,697448085,19828574,24169285,2357445,1434005,1004643
600094,大名城,62875450,1276033,2842277,6100,9500,11200
600096,云天化,273322570,7261929,4540844,467806,278078,86899
600100,同方股份,835198362,18074811,25097305,971408,673847,485200
600104,上汽集团,839225131,16672263,23144677,2696407,659009,475751
600107,美尔雅,177139590,5352217,8305594,20300,33400,36100
600108,亚盛集团,317709519,6146516,8343547,1486660,635602,262155
600109,国金证券,396341690,8488365,9748317,12329190,175521,196021
600111,包钢稀土,1683169106,50897885,71796647,1211941,1847762,1753962
600113,浙江东日,143682123,50834380,44531203,47410,25900,17000
600115,东方航空,132089851,2626823,3113483,1250058,362100,129000
600116,三峡水利,82215840,1759870,2119800,36200,6900,0
600118,中国卫星,659558613,17942056,28707546,379841,655905,579630
600120,浙江东方,508091155,31410592,29925113,94300,10800,27700
600123,兰花科创,622713341,12426135,24660992,342791,463137,460389
600125,铁龙物流,354636074,5318105,5442875,706214,302800,148500
600132,重庆啤酒,246184258,4320941,3096952,315975,158300,98761
600139,西部资源,101528304,1556921,1990123,91509,2400,16900
600141,兴发集团,259680748,2286363,5100377,22067,16400,1900
600143,金发科技,232752701,10460769,5653994,708363,350600,421200
600145,国创能源,97234595,3950434,5130480,273202,264600,700
600146,大元股份,194685666,3491445,4539431,28200,10000,25200
600149,廊坊发展,148335489,6932567,2595419,44600,23000,18500
600150,中国船舶,372077164,4637054,8074544,752872,129497,45092
600153,建发股份,233887555,2924467,2849627,537631,195900,333300
600157,永泰能源,434861568,20588337,18762384,274856,356500,408700
600158,中体产业,254856170,10030036,11361669,161585,93500,141000
600160,巨化股份,208641540,3094930,7661114,508800,171791,120292
600163,福建南纸,168884111,6355882,16433066,102200,25900,55100
600166,福田汽车,351652486,5882416,10645838,816794,284600,270130
600169,太原重工,169601285,1309444,2132348,1509896,157200,55490
600170,上海建工,228546129,3048618,2523667,552278,117900,46862
600177,雅戈尔,285820544,2177826,2491937,364750,135382,347995
600179,黑化股份,78583354,4572155,2023747,61900,100,3300
600185,格力地产,103733895,2947475,1711701,42400,8800,47568
600186,莲花味精,80188331,541316,2173183,36500,0,0
600188,兖州煤业,172889076,6422488,3284834,926681,212984,150200
600193,创兴资源,142807112,4129623,5042335,52600,24000,0
600196,复星医药,434297232,9320131,21045767,786966,894380,562412
600197,伊力特,113349083,3156999,1891066,6100,5000,4100
600199,金种子酒,288239956,17523562,18778056,38400,18000,8000
600208,新湖中宝,205754613,0,3729131,2230737,0,0
600209,罗顿发展,221292188,18719612,15031289,64400,29400,35400
600216,浙江医药,358004888,7356848,9376075,257551,76053,55771
600218,全柴动力,167036387,4943945,4686141,29051,8300,26000
600219,南山铝业,276019365,8985125,5489970,462918,520800,608900
600221,海南航空,186442743,2195335,1275472,1094400,95000,114400
600223,鲁商置业,43889561,662054,1212874,22900,22300,22600
600225,天津松江,47758031,5252950,1383191,35700,36800,46300
600229,青岛碱业,66613357,398725,1633807,33200,3200,5000
600230,沧州大化,120752967,2901601,981413,11000,5100,0
