日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,换手率(%)
2016-08-16,791.48,798.86,802.93,791.48,1857467,2135751920,1.45%,
2016-08-17,797.13,801.88,802.24,795.89,1454612,1768043216,0.79%,
2016-08-18,800.63,801.73,805.96,798.54,1605677,1984540416,0.93%,
2016-08-19,800.46,800.95,803.10,795.17,1367509,1775142896,0.99%,
2016-08-22,802.69,798.01,805.18,798.01,1702758,1895442704,0.9%,
2016-08-23,796.41,804.01,804.89,795.27,1472584,1677121856,1.21%,
2016-08-24,805.45,801.18,807.04,799.60,1294280,1650306960,0.93%,
2016-08-25,798.34,799.20,800.86,791.69,1409718,1682537584,1.14%,
2016-08-26,800.73,806.90,813.50,798.28,1985302,2487506224,1.9%,
2016-08-29,805.05,808.75,809.34,803.16,1469549,1761082272,0.77%,
2016-08-30,808.96,812.23,814.54,807.50,1337873,1775204816,0.87%,
2016-08-31,813.07,815.84,818.89,812.59,1590074,2088855552,0.78%,
2016-09-01,814.34,807.25,815.82,807.14,1271750,1739127184,1.06%,
2016-09-02,804.29,803.86,810.17,800.56,1270235,1993936832,1.19%,
2016-09-05,803.78,806.59,811.78,803.39,1192054,1634817456,1.04%,
2016-09-06,806.31,814.71,814.86,799.41,1369764,1962518688,1.92%,
2016-09-07,815.02,817.93,820.90,814.83,1513112,2077310720,0.75%,
2016-09-08,817.29,819.51,821.06,815.32,1175212,1595065200,0.7%,
2016-09-09,818.29,811.35,820.52,811.18,1110622,1588907264,1.14%,
2016-09-12,800.76,798.61,806.57,797.01,1426339,1828457360,1.18%,
2016-09-13,801.11,800.36,804.80,797.34,1332118,1673510864,0.93%,
2016-09-14,796.85,795.10,800.50,793.32,916844,1152400912,0.9%,
2016-09-19,796.12,803.96,804.16,796.12,880838,1240142336,1.01%,
2016-09-20,803.40,804.63,806.26,800.36,1127697,1373327184,0.73%,
2016-09-21,804.62,803.69,806.70,802.38,856847,1105809152,0.54%,
2016-09-22,811.59,809.28,813.95,805.82,1677631,1944459664,1.01%,
2016-09-23,809.11,806.34,810.47,806.15,1210113,1462431984,0.53%,
2016-09-26,805.88,790.54,805.88,790.15,1264154,1605064592,1.95%,
2016-09-27,787.87,794.01,794.33,785.19,1001021,1335978592,1.16%,
2016-09-28,795.59,792.85,797.85,791.47,968453,1140626848,0.8%,
2016-09-29,795.11,797.52,800.44,793.73,899926,1140057616,0.85%,
2016-09-30,797.04,803.18,805.25,795.76,1238157,1412209568,1.19%,
2016-10-10,808.49,823.73,823.82,807.97,1631363,1930307120,1.97%,
2016-10-11,823.48,825.53,826.24,821.42,1396918,1685326320,0.59%,
2016-10-12,824.11,832.82,834.40,823.72,1807394,2306223776,1.29%,
2016-10-13,833.00,830.47,834.00,829.00,1403894,1806826768,0.6%,
2016-10-14,828.57,837.72,839.54,826.56,1590731,2060864160,1.56%,
2016-10-17,841.70,828.49,844.76,827.93,1567139,2051874544,2.01%,
2016-10-18,832.10,840.50,840.55,830.51,1241150,1571208704,1.21%,
2016-10-19,843.97,836.62,845.16,833.70,1385439,1712333632,1.36%,
2016-10-20,842.08,843.32,847.30,840.80,1675939,1690719440,0.78%,
2016-10-21,845.47,845.33,848.71,837.21,2016109,2665480032,1.36%,
2016-10-24,844.73,849.46,851.02,842.29,2082802,2903034032,1.03%,
2016-10-25,849.00,851.65,852.66,847.47,1904256,2425406480,0.61%,
2016-10-26,853.14,854.59,860.96,852.00,2507710,3120866112,1.05%,
2016-10-27,853.07,854.17,854.93,850.82,1768797,2199065936,0.48%,
2016-10-28,853.37,842.93,855.97,842.62,2006487,2549709136,1.56%,
2016-10-31,841.05,842.51,845.80,835.79,1475801,1967285616,1.19%,
2016-11-01,846.32,862.08,862.33,844.76,2094365,2931938416,2.09%,
2016-11-02,862.26,861.37,869.93,859.97,2674375,3688466736,1.16%,
2016-11-03,858.68,872.27,874.73,858.37,3038166,4130077824,1.9%,
2016-11-04,872.31,865.94,876.80,865.14,2850937,3928787248,1.34%,
2016-11-07,864.06,868.07,870.76,862.30,2140862,2860472560,0.98%,
2016-11-08,869.92,870.57,871.13,865.80,1768601,2328626592,0.61%,
2016-11-09,869.07,861.72,870.85,851.43,2210444,2887293728,2.23%,
2016-11-10,868.66,882.17,882.17,867.59,2620957,3711287760,1.69%,
2016-11-11,881.90,881.84,885.75,878.35,2331417,3414623984,0.84%,
2016-11-14,881.95,891.32,891.33,880.62,2738793,3753727440,1.21%,
2016-11-15,891.63,891.96,895.04,887.28,2121762,2820863920,0.87%,
2016-11-16,893.41,892.48,896.78,891.65,1979495,2605298256,0.58%,
2016-11-17,889.74,889.74,891.88,882.88,1562195,2083217568,1.01%,
2016-11-18,889.15,893.17,897.86,889.15,1878350,2802379184,0.98%,
2016-11-21,890.72,890.85,896.27,888.54,2103028,3152455632,0.87%,
2016-11-22,894.53,900.71,901.92,894.53,2171818,3079307904,0.83%,
2016-11-23,901.29,902.90,908.66,899.93,2380133,3289203120,0.97%,
2016-11-24,902.01,902.21,906.86,898.51,1948628,2833731424,0.92%,
2016-11-25,899.83,905.83,906.28,884.91,2253203,3161467392,2.37%,
2016-11-28,906.01,909.56,912.14,902.13,1994901,2778447648,1.11%,
2016-11-29,907.92,895.32,912.04,894.71,1853213,2518352048,1.91%,
2016-11-30,892.38,886.36,892.93,884.43,1537594,2040862016,0.95%,
2016-12-01,886.79,890.38,893.00,885.77,1422047,1766705312,0.82%,
2016-12-02,890.16,874.49,890.24,874.43,1597884,2158115872,1.78%,
2016-12-05,865.95,870.32,874.02,860.98,1349395,1925620768,1.49%,
2016-12-06,872.17,878.02,879.83,872.17,1450856,1814395888,0.88%,
2016-12-07,877.68,892.00,892.33,877.60,1637172,2085157552,1.68%,
